,IOC,Breeding Range,Order,Family,Indonesian
4614,Myrmotherula grisea,SA,PASSERIFORMES,Thamnophilidae,Yungas Antwren
4615,Myrmotherula unicolor,SA,PASSERIFORMES,Thamnophilidae,Unicolored Antwren
4616,Myrmotherula snowi,SA,PASSERIFORMES,Thamnophilidae,Alagoas Antwren
4617,Myrmotherula behni,SA,PASSERIFORMES,Thamnophilidae,Plain-winged Antwren
4618,Myrmotherula menetriesii,SA,PASSERIFORMES,Thamnophilidae,Grey Antwren
4619,Myrmotherula assimilis,SA,PASSERIFORMES,Thamnophilidae,Leaden Antwren
4620,Terenura maculata,SA,PASSERIFORMES,Thamnophilidae,Streak-capped Antwren
4621,Terenura sicki,SA,PASSERIFORMES,Thamnophilidae,Orange-bellied Antwren
4622,Myrmochanes hemileucus,SA,PASSERIFORMES,Thamnophilidae,Black-and-white Antbird
4623,Formicivora iheringi,SA,PASSERIFORMES,Thamnophilidae,Narrow-billed Antwren
4624,Formicivora erythronotos,SA,PASSERIFORMES,Thamnophilidae,Black-hooded Antwren
4625,Formicivora grisea,SA,PASSERIFORMES,Thamnophilidae,Southern White-fringed Antwren
4626,Formicivora intermedia,SA,PASSERIFORMES,Thamnophilidae,Northern White-fringed Antwren
4627,Formicivora serrana,SA,PASSERIFORMES,Thamnophilidae,Serra Antwren
4628,Formicivora melanogaster,SA,PASSERIFORMES,Thamnophilidae,Black-bellied Antwren
4629,Formicivora rufa,SA,PASSERIFORMES,Thamnophilidae,Rusty-backed Antwren
4630,Formicivora grantsaui,SA,PASSERIFORMES,Thamnophilidae,Sincora Antwren
4631,Formicivora acutirostris,SA,PASSERIFORMES,Thamnophilidae,Marsh Antwren
4632,Dichrozona cincta,SA,PASSERIFORMES,Thamnophilidae,Banded Antbird
4633,Rhopias gularis,SA,PASSERIFORMES,Thamnophilidae,Star-throated Antwren
4634,Isleria hauxwelli,SA,PASSERIFORMES,Thamnophilidae,Plain-throated Antwren
4635,Isleria guttata,SA,PASSERIFORMES,Thamnophilidae,Rufous-bellied Antwren
4636,Thamnomanes ardesiacus,SA,PASSERIFORMES,Thamnophilidae,Dusky-throated Antshrike
4637,Thamnomanes saturninus,SA,PASSERIFORMES,Thamnophilidae,Saturnine Antshrike
4638,Thamnomanes caesius,SA,PASSERIFORMES,Thamnophilidae,Cinereous Antshrike
4639,Thamnomanes schistogynus,SA,PASSERIFORMES,Thamnophilidae,Bluish-slate Antshrike
4640,Megastictus margaritatus,SA,PASSERIFORMES,Thamnophilidae,Pearly Antshrike
4641,Sakesphoroides cristatus,SA,PASSERIFORMES,Thamnophilidae,Silvery-cheeked Antshrike
4642,Herpsilochmus pileatus,SA,PASSERIFORMES,Thamnophilidae,Bahia Antwren
4643,Herpsilochmus atricapillus,SA,PASSERIFORMES,Thamnophilidae,Black-capped Antwren
4644,Herpsilochmus stotzi,SA,PASSERIFORMES,Thamnophilidae,Aripuana Antwren
4645,Herpsilochmus praedictus,SA,PASSERIFORMES,Thamnophilidae,Predicted Antwren
4646,Herpsilochmus motacilloides,SA,PASSERIFORMES,Thamnophilidae,Creamy-bellied Antwren
4647,Herpsilochmus parkeri,SA,PASSERIFORMES,Thamnophilidae,Ash-throated Antwren
4648,Herpsilochmus sticturus,SA,PASSERIFORMES,Thamnophilidae,Spot-tailed Antwren
4649,Herpsilochmus dugandi,SA,PASSERIFORMES,Thamnophilidae,Dugand's Antwren
4650,Herpsilochmus stictocephalus,SA,PASSERIFORMES,Thamnophilidae,Todd's Antwren
4651,Herpsilochmus dorsimaculatus,SA,PASSERIFORMES,Thamnophilidae,Spot-backed Antwren
4652,Herpsilochmus roraimae,SA,PASSERIFORMES,Thamnophilidae,Roraiman Antwren
4653,Herpsilochmus pectoralis,SA,PASSERIFORMES,Thamnophilidae,Pectoral Antwren
4654,Herpsilochmus longirostris,SA,PASSERIFORMES,Thamnophilidae,Large-billed Antwren
4655,Herpsilochmus gentryi,SA,PASSERIFORMES,Thamnophilidae,Ancient Antwren
4656,Herpsilochmus axillaris,SA,PASSERIFORMES,Thamnophilidae,Yellow-breasted Antwren
4657,Herpsilochmus frater,"MA, SA",PASSERIFORMES,Thamnophilidae,Rusty-winged Antwren
4658,Herpsilochmus rufimarginatus,SA,PASSERIFORMES,Thamnophilidae,Rufous-margined Antwren
4659,Dysithamnus stictothorax,SA,PASSERIFORMES,Thamnophilidae,Spot-breasted Antvireo
4660,Dysithamnus mentalis,"MA, SA",PASSERIFORMES,Thamnophilidae,Plain Antvireo
4661,Dysithamnus striaticeps,MA,PASSERIFORMES,Thamnophilidae,Streak-crowned Antvireo
4662,Dysithamnus puncticeps,"MA, SA",PASSERIFORMES,Thamnophilidae,Spot-crowned Antvireo
4663,Dysithamnus xanthopterus,SA,PASSERIFORMES,Thamnophilidae,Rufous-backed Antvireo
4664,Dysithamnus occidentalis,SA,PASSERIFORMES,Thamnophilidae,Bicolored Antvireo
4665,Dysithamnus plumbeus,SA,PASSERIFORMES,Thamnophilidae,Plumbeous Antvireo
4666,Dysithamnus leucostictus,SA,PASSERIFORMES,Thamnophilidae,White-streaked Antvireo
4667,Thamnophilus bernardi,SA,PASSERIFORMES,Thamnophilidae,Collared Antshrike
4668,Thamnophilus melanonotus,SA,PASSERIFORMES,Thamnophilidae,Black-backed Antshrike
4669,Thamnophilus melanothorax,SA,PASSERIFORMES,Thamnophilidae,Band-tailed Antshrike
4670,Thamnophilus doliatus,"MA, SA",PASSERIFORMES,Thamnophilidae,Barred Antshrike
4671,Thamnophilus zarumae,SA,PASSERIFORMES,Thamnophilidae,Chapman's Antshrike
4672,Thamnophilus multistriatus,SA,PASSERIFORMES,Thamnophilidae,Bar-crested Antshrike
4673,Thamnophilus tenuepunctatus,SA,PASSERIFORMES,Thamnophilidae,Lined Antshrike
4674,Thamnophilus palliatus,SA,PASSERIFORMES,Thamnophilidae,Chestnut-backed Antshrike
4675,Thamnophilus bridgesi,MA,PASSERIFORMES,Thamnophilidae,Black-hooded Antshrike
4676,Thamnophilus nigriceps,"MA, SA",PASSERIFORMES,Thamnophilidae,Black Antshrike
4677,Thamnophilus praecox,SA,PASSERIFORMES,Thamnophilidae,Cocha Antshrike
4678,Thamnophilus nigrocinereus,SA,PASSERIFORMES,Thamnophilidae,Blackish-grey Antshrike
4679,Thamnophilus cryptoleucus,SA,PASSERIFORMES,Thamnophilidae,Castelnau's Antshrike
4680,Thamnophilus aethiops,SA,PASSERIFORMES,Thamnophilidae,White-shouldered Antshrike
4681,Thamnophilus unicolor,SA,PASSERIFORMES,Thamnophilidae,Uniform Antshrike
4682,Thamnophilus schistaceus,SA,PASSERIFORMES,Thamnophilidae,Plain-winged Antshrike
4683,Thamnophilus murinus,SA,PASSERIFORMES,Thamnophilidae,Mouse-colored Antshrike
4684,Thamnophilus aroyae,SA,PASSERIFORMES,Thamnophilidae,Upland Antshrike
4685,Thamnophilus atrinucha,"MA, SA",PASSERIFORMES,Thamnophilidae,Black-crowned Antshrike
4686,Thamnophilus punctatus,SA,PASSERIFORMES,Thamnophilidae,Northern Slaty Antshrike
4687,Thamnophilus stictocephalus,SA,PASSERIFORMES,Thamnophilidae,Natterer's Slaty Antshrike
4688,Thamnophilus sticturus,SA,PASSERIFORMES,Thamnophilidae,Bolivian Slaty Antshrike
4689,Thamnophilus pelzelni,SA,PASSERIFORMES,Thamnophilidae,Planalto Slaty Antshrike
4690,Thamnophilus ambiguus,SA,PASSERIFORMES,Thamnophilidae,Sooretama Slaty Antshrike
4691,Thamnophilus amazonicus,SA,PASSERIFORMES,Thamnophilidae,Amazonian Antshrike
4692,Thamnophilus divisorius,SA,PASSERIFORMES,Thamnophilidae,Acre Antshrike
4693,Thamnophilus insignis,SA,PASSERIFORMES,Thamnophilidae,Streak-backed Antshrike
4694,Thamnophilus caerulescens,SA,PASSERIFORMES,Thamnophilidae,Variable Antshrike
4695,Thamnophilus torquatus,SA,PASSERIFORMES,Thamnophilidae,Rufous-winged Antshrike
4696,Thamnophilus ruficapillus,SA,PASSERIFORMES,Thamnophilidae,Rufous-capped Antshrike
4697,Sakesphorus canadensis,SA,PASSERIFORMES,Thamnophilidae,Black-crested Antshrike
4698,Sakesphorus luctuosus,SA,PASSERIFORMES,Thamnophilidae,Glossy Antshrike
4699,Radinopsyche sellowi,SA,PASSERIFORMES,Thamnophilidae,Caatinga Antwren
4700,Biatas nigropectus,SA,PASSERIFORMES,Thamnophilidae,White-bearded Antshrike
4701,Cymbilaimus lineatus,"MA, SA",PASSERIFORMES,Thamnophilidae,Fasciated Antshrike
4702,Cymbilaimus sanctaemariae,SA,PASSERIFORMES,Thamnophilidae,Bamboo Antshrike
4703,Taraba major,"MA, SA",PASSERIFORMES,Thamnophilidae,Great Antshrike
4704,Mackenziaena leachii,SA,PASSERIFORMES,Thamnophilidae,Large-tailed Antshrike
4705,Mackenziaena severa,SA,PASSERIFORMES,Thamnophilidae,Tufted Antshrike
4706,Frederickena viridis,SA,PASSERIFORMES,Thamnophilidae,Black-throated Antshrike
4707,Frederickena unduliger,SA,PASSERIFORMES,Thamnophilidae,Undulated Antshrike
4708,Frederickena fulva,SA,PASSERIFORMES,Thamnophilidae,Fulvous Antshrike
4709,Hypoedaleus guttatus,SA,PASSERIFORMES,Thamnophilidae,Spot-backed Antshrike
4710,Batara cinerea,SA,PASSERIFORMES,Thamnophilidae,Giant Antshrike
4711,Xenornis setifrons,"MA, SA",PASSERIFORMES,Thamnophilidae,Speckled Antshrike
4712,Pithys albifrons,SA,PASSERIFORMES,Thamnophilidae,White-plumed Antbird
4713,Pithys castaneus,SA,PASSERIFORMES,Thamnophilidae,White-masked Antbird
4714,Phaenostictus mcleannani,"MA, SA",PASSERIFORMES,Thamnophilidae,Ocellated Antbird
4715,Gymnopithys bicolor,"MA, SA",PASSERIFORMES,Thamnophilidae,Bicolored Antbird
4716,Gymnopithys leucaspis,SA,PASSERIFORMES,Thamnophilidae,White-cheeked Antbird
4717,Gymnopithys rufigula,SA,PASSERIFORMES,Thamnophilidae,Rufous-throated Antbird
4718,Oneillornis salvini,SA,PASSERIFORMES,Thamnophilidae,White-throated Antbird
4719,Oneillornis lunulatus,SA,PASSERIFORMES,Thamnophilidae,Lunulated Antbird
4720,Rhegmatorhina gymnops,SA,PASSERIFORMES,Thamnophilidae,Bare-eyed Antbird
4721,Rhegmatorhina berlepschi,SA,PASSERIFORMES,Thamnophilidae,Harlequin Antbird
4722,Rhegmatorhina hoffmannsi,SA,PASSERIFORMES,Thamnophilidae,White-breasted Antbird
4723,Rhegmatorhina cristata,SA,PASSERIFORMES,Thamnophilidae,Chestnut-crested Antbird
4724,Rhegmatorhina melanosticta,SA,PASSERIFORMES,Thamnophilidae,Hairy-crested Antbird
4725,Phlegopsis nigromaculata,SA,PASSERIFORMES,Thamnophilidae,Black-spotted Bare-eye
4726,Phlegopsis erythroptera,SA,PASSERIFORMES,Thamnophilidae,Reddish-winged Bare-eye
4727,Phlegopsis borbae,SA,PASSERIFORMES,Thamnophilidae,Pale-faced Bare-eye
4728,Willisornis poecilinotus,SA,PASSERIFORMES,Thamnophilidae,Common Scale-backed Antbird
4729,Willisornis vidua,SA,PASSERIFORMES,Thamnophilidae,Xingu Scale-backed Antbird
4730,Drymophila ferruginea,SA,PASSERIFORMES,Thamnophilidae,Ferruginous Antbird
4731,Drymophila rubricollis,SA,PASSERIFORMES,Thamnophilidae,Bertoni's Antbird
4732,Drymophila genei,SA,PASSERIFORMES,Thamnophilidae,Rufous-tailed Antbird
4733,Drymophila ochropyga,SA,PASSERIFORMES,Thamnophilidae,Ochre-rumped Antbird
4734,Drymophila malura,SA,PASSERIFORMES,Thamnophilidae,Dusky-tailed Antbird
4735,Drymophila squamata,SA,PASSERIFORMES,Thamnophilidae,Scaled Antbird
4736,Drymophila devillei,SA,PASSERIFORMES,Thamnophilidae,Striated Antbird
4737,Drymophila hellmayri,SA,PASSERIFORMES,Thamnophilidae,Santa Marta Antbird
4738,Drymophila klagesi,SA,PASSERIFORMES,Thamnophilidae,Klages's Antbird
4739,Drymophila caudata,SA,PASSERIFORMES,Thamnophilidae,East Andean Antbird
4740,Drymophila striaticeps,SA,PASSERIFORMES,Thamnophilidae,Streak-headed Antbird
4741,Hypocnemis cantator,SA,PASSERIFORMES,Thamnophilidae,Guianan Warbling Antbird
4742,Hypocnemis flavescens,SA,PASSERIFORMES,Thamnophilidae,Imeri Warbling Antbird
4743,Hypocnemis peruviana,SA,PASSERIFORMES,Thamnophilidae,Peruvian Warbling Antbird
4744,Hypocnemis subflava,SA,PASSERIFORMES,Thamnophilidae,Yellow-breasted Warbling Antbird
4745,Hypocnemis ochrogyna,SA,PASSERIFORMES,Thamnophilidae,Rondonia Warbling Antbird
4746,Hypocnemis striata,SA,PASSERIFORMES,Thamnophilidae,Spix's Warbling Antbird
4747,Hypocnemis rondoni,SA,PASSERIFORMES,Thamnophilidae,Manicore Warbling Antbird
4748,Hypocnemis hypoxantha,SA,PASSERIFORMES,Thamnophilidae,Yellow-browed Antbird
4749,Sciaphylax hemimelaena,SA,PASSERIFORMES,Thamnophilidae,Southern Chestnut-tailed Antbird
4750,Sciaphylax castanea,SA,PASSERIFORMES,Thamnophilidae,Northern Chestnut-tailed Antbird
4751,Cercomacroides laeta,SA,PASSERIFORMES,Thamnophilidae,Willis's Antbird
4752,Cercomacroides parkeri,SA,PASSERIFORMES,Thamnophilidae,Parker's Antbird
4753,Cercomacroides nigrescens,SA,PASSERIFORMES,Thamnophilidae,Blackish Antbird
4754,Cercomacroides fuscicauda,SA,PASSERIFORMES,Thamnophilidae,Riparian Antbird
4755,Cercomacroides tyrannina,"MA, SA",PASSERIFORMES,Thamnophilidae,Dusky Antbird
4756,Cercomacroides serva,SA,PASSERIFORMES,Thamnophilidae,Black Antbird
4757,Cercomacra manu,SA,PASSERIFORMES,Thamnophilidae,Manu Antbird
4758,Cercomacra brasiliana,SA,PASSERIFORMES,Thamnophilidae,Rio de Janeiro Antbird
4759,Cercomacra cinerascens,SA,PASSERIFORMES,Thamnophilidae,Grey Antbird
4760,Cercomacra melanaria,SA,PASSERIFORMES,Thamnophilidae,Mato Grosso Antbird
4761,Cercomacra ferdinandi,SA,PASSERIFORMES,Thamnophilidae,Bananal Antbird
4762,Cercomacra nigricans,"MA, SA",PASSERIFORMES,Thamnophilidae,Jet Antbird
4763,Cercomacra carbonaria,SA,PASSERIFORMES,Thamnophilidae,Rio Branco Antbird
4764,Myrmoderus ferrugineus,SA,PASSERIFORMES,Thamnophilidae,Ferruginous-backed Antbird
4765,Myrmoderus eowilsoni,SA,PASSERIFORMES,Thamnophilidae,Cordillera Azul Antbird
4766,Myrmoderus ruficauda,SA,PASSERIFORMES,Thamnophilidae,Scalloped Antbird
4767,Myrmoderus loricatus,SA,PASSERIFORMES,Thamnophilidae,White-bibbed Antbird
4768,Myrmoderus squamosus,SA,PASSERIFORMES,Thamnophilidae,Squamate Antbird
4769,Hypocnemoides melanopogon,SA,PASSERIFORMES,Thamnophilidae,Black-chinned Antbird
4770,Hypocnemoides maculicauda,SA,PASSERIFORMES,Thamnophilidae,Band-tailed Antbird
4771,Hylophylax naevioides,"MA, SA",PASSERIFORMES,Thamnophilidae,Spotted Antbird
4772,Hylophylax naevius,SA,PASSERIFORMES,Thamnophilidae,Spot-backed Antbird
4773,Hylophylax punctulatus,SA,PASSERIFORMES,Thamnophilidae,Dot-backed Antbird
4774,Sclateria naevia,SA,PASSERIFORMES,Thamnophilidae,Silvered Antbird
4775,Myrmelastes hyperythrus,SA,PASSERIFORMES,Thamnophilidae,Plumbeous Antbird
4776,Myrmelastes schistaceus,SA,PASSERIFORMES,Thamnophilidae,Slate-colored Antbird
4777,Myrmelastes leucostigma,SA,PASSERIFORMES,Thamnophilidae,Spot-winged Antbird
4778,Myrmelastes humaythae,SA,PASSERIFORMES,Thamnophilidae,Humaita Antbird
4779,Myrmelastes brunneiceps,SA,PASSERIFORMES,Thamnophilidae,Brownish-headed Antbird
4780,Myrmelastes rufifacies,SA,PASSERIFORMES,Thamnophilidae,Rufous-faced Antbird
4781,Myrmelastes saturatus,SA,PASSERIFORMES,Thamnophilidae,Roraiman Antbird
4782,Myrmelastes caurensis,SA,PASSERIFORMES,Thamnophilidae,Caura Antbird
4783,Poliocrania exsul,"MA, SA",PASSERIFORMES,Thamnophilidae,Chestnut-backed Antbird
4784,Ampelornis griseiceps,SA,PASSERIFORMES,Thamnophilidae,Grey-headed Antbird
4785,Sipia berlepschi,SA,PASSERIFORMES,Thamnophilidae,Stub-tailed Antbird
4786,Sipia nigricauda,SA,PASSERIFORMES,Thamnophilidae,Esmeraldas Antbird
4787,Sipia palliata,SA,PASSERIFORMES,Thamnophilidae,Magdalena Antbird
4788,Sipia laemosticta,MA,PASSERIFORMES,Thamnophilidae,Dull-mantled Antbird
4789,Myrmeciza longipes,SA,PASSERIFORMES,Thamnophilidae,White-bellied Antbird
4790,Myrmoborus melanurus,SA,PASSERIFORMES,Thamnophilidae,Black-tailed Antbird
4791,Myrmoborus lophotes,SA,PASSERIFORMES,Thamnophilidae,White-lined Antbird
4792,Myrmoborus myotherinus,SA,PASSERIFORMES,Thamnophilidae,Black-faced Antbird
4793,Myrmoborus leucophrys,SA,PASSERIFORMES,Thamnophilidae,White-browed Antbird
4794,Myrmoborus lugubris,SA,PASSERIFORMES,Thamnophilidae,Ash-breasted Antbird
4795,Gymnocichla nudiceps,"MA, SA",PASSERIFORMES,Thamnophilidae,Bare-crowned Antbird
4796,Pyriglena maura,SA,PASSERIFORMES,Thamnophilidae,Western Fire-eye
4797,Pyriglena similis,SA,PASSERIFORMES,Thamnophilidae,Tapajos Fire-eye
4798,Pyriglena leuconota,SA,PASSERIFORMES,Thamnophilidae,East Amazonian Fire-eye
4799,Pyriglena atra,SA,PASSERIFORMES,Thamnophilidae,Fringe-backed Fire-eye
4800,Pyriglena leucoptera,SA,PASSERIFORMES,Thamnophilidae,White-shouldered Fire-eye
4801,Rhopornis ardesiacus,SA,PASSERIFORMES,Thamnophilidae,Slender Antbird
4802,Percnostola rufifrons,SA,PASSERIFORMES,Thamnophilidae,Black-headed Antbird
4803,Percnostola arenarum,SA,PASSERIFORMES,Thamnophilidae,Allpahuayo Antbird
4804,Akletos melanoceps,SA,PASSERIFORMES,Thamnophilidae,White-shouldered Antbird
4805,Akletos goeldii,SA,PASSERIFORMES,Thamnophilidae,Goeldi's Antbird
4806,Hafferia fortis,SA,PASSERIFORMES,Thamnophilidae,Sooty Antbird
4807,Hafferia immaculata,"MA, SA",PASSERIFORMES,Thamnophilidae,Blue-lored Antbird
4808,Hafferia zeledoni,"MA, SA",PASSERIFORMES,Thamnophilidae,Zeledon's Antbird
4809,Formicarius colma,SA,PASSERIFORMES,Formicariidae,Rufous-capped Antthrush
4810,Formicarius analis,"MA, SA",PASSERIFORMES,Formicariidae,Black-faced Antthrush
4811,Formicarius moniliger,MA,PASSERIFORMES,Formicariidae,Mayan Antthrush
4812,Formicarius rufifrons,SA,PASSERIFORMES,Formicariidae,Rufous-fronted Antthrush
4813,Formicarius nigricapillus,"MA, SA",PASSERIFORMES,Formicariidae,Black-headed Antthrush
4814,Formicarius rufipectus,"MA, SA",PASSERIFORMES,Formicariidae,Rufous-breasted Antthrush
4815,Chamaeza campanisona,SA,PASSERIFORMES,Formicariidae,Short-tailed Antthrush
4816,Chamaeza nobilis,SA,PASSERIFORMES,Formicariidae,Striated Antthrush
4817,Chamaeza meruloides,SA,PASSERIFORMES,Formicariidae,Cryptic Antthrush
4818,Chamaeza ruficauda,SA,PASSERIFORMES,Formicariidae,Rufous-tailed Antthrush
4819,Chamaeza turdina,SA,PASSERIFORMES,Formicariidae,Schwartz's Antthrush
4820,Chamaeza mollissima,SA,PASSERIFORMES,Formicariidae,Barred Antthrush
4821,Grallaria squamigera,SA,PASSERIFORMES,Grallariidae,Undulated Antpitta
4822,Grallaria gigantea,SA,PASSERIFORMES,Grallariidae,Giant Antpitta
4823,Grallaria excelsa,SA,PASSERIFORMES,Grallariidae,Great Antpitta
4824,Grallaria varia,SA,PASSERIFORMES,Grallariidae,Variegated Antpitta
4825,Grallaria alleni,SA,PASSERIFORMES,Grallariidae,Moustached Antpitta
4826,Grallaria guatimalensis,"MA, SA",PASSERIFORMES,Grallariidae,Scaled Antpitta
4827,Grallaria chthonia,SA,PASSERIFORMES,Grallariidae,Tachira Antpitta
4828,Grallaria haplonota,SA,PASSERIFORMES,Grallariidae,Plain-backed Antpitta
4829,Grallaria dignissima,SA,PASSERIFORMES,Grallariidae,Ochre-striped Antpitta
4830,Grallaria eludens,SA,PASSERIFORMES,Grallariidae,Elusive Antpitta
4831,Grallaria ruficapilla,SA,PASSERIFORMES,Grallariidae,Chestnut-crowned Antpitta
4832,Grallaria watkinsi,SA,PASSERIFORMES,Grallariidae,Watkins's Antpitta
4833,Grallaria bangsi,SA,PASSERIFORMES,Grallariidae,Santa Marta Antpitta
4834,Grallaria kaestneri,SA,PASSERIFORMES,Grallariidae,Cundinamarca Antpitta
4835,Grallaria andicolus,SA,PASSERIFORMES,Grallariidae,Stripe-headed Antpitta
4836,Grallaria griseonucha,SA,PASSERIFORMES,Grallariidae,Grey-naped Antpitta
4837,Grallaria ridgelyi,SA,PASSERIFORMES,Grallariidae,Jocotoco Antpitta
4838,Grallaria nuchalis,SA,PASSERIFORMES,Grallariidae,Chestnut-naped Antpitta
4839,Grallaria carrikeri,SA,PASSERIFORMES,Grallariidae,Pale-billed Antpitta
4840,Grallaria albigula,SA,PASSERIFORMES,Grallariidae,White-throated Antpitta
4841,Grallaria flavotincta,SA,PASSERIFORMES,Grallariidae,Yellow-breasted Antpitta
4842,Grallaria hypoleuca,SA,PASSERIFORMES,Grallariidae,White-bellied Antpitta
4843,Grallaria przewalskii,SA,PASSERIFORMES,Grallariidae,Rusty-tinged Antpitta
4844,Grallaria capitalis,SA,PASSERIFORMES,Grallariidae,Bay Antpitta
4845,Grallaria erythroleuca,SA,PASSERIFORMES,Grallariidae,Red-and-white Antpitta
4846,Grallaria spatiator,SA,PASSERIFORMES,Grallariidae,Sierra Nevada Antpitta
4847,Grallaria saltuensis,SA,PASSERIFORMES,Grallariidae,Perija Antpitta
4848,Grallaria rufula,SA,PASSERIFORMES,Grallariidae,Muisca Antpitta
4849,Grallaria rufocinerea,SA,PASSERIFORMES,Grallariidae,Bicolored Antpitta
4850,Grallaria alvarezi,SA,PASSERIFORMES,Grallariidae,Chami Antpitta
4851,Grallaria saturata,SA,PASSERIFORMES,Grallariidae,Equatorial Antpitta
4852,Grallaria cajamarcae,SA,PASSERIFORMES,Grallariidae,Cajamarca Antpitta
4853,Grallaria blakei,SA,PASSERIFORMES,Grallariidae,Chestnut Antpitta
4854,Grallaria gravesi,SA,PASSERIFORMES,Grallariidae,Chachapoyas Antpitta
4855,Grallaria oneilli,SA,PASSERIFORMES,Grallariidae,Panao Antpitta
4856,Grallaria obscura,SA,PASSERIFORMES,Grallariidae,Junin Antpitta
4857,Grallaria centralis,SA,PASSERIFORMES,Grallariidae,Oxapampa Antpitta
4858,Grallaria ayacuchensis,SA,PASSERIFORMES,Grallariidae,Ayacucho Antpitta
4859,Grallaria occabambae,SA,PASSERIFORMES,Grallariidae,Urubamba Antpitta
4860,Grallaria sinaensis,SA,PASSERIFORMES,Grallariidae,Puno Antpitta
4861,Grallaria cochabambae,SA,PASSERIFORMES,Grallariidae,Bolivian Antpitta
4862,Grallaria quitensis,SA,PASSERIFORMES,Grallariidae,Tawny Antpitta
4863,Grallaria alticola,SA,PASSERIFORMES,Grallariidae,Boyaca Antpitta
4864,Grallaria atuensis,SA,PASSERIFORMES,Grallariidae,Atuen Antpitta
4865,Grallaria milleri,SA,PASSERIFORMES,Grallariidae,Brown-banded Antpitta
4866,Grallaria urraoensis,SA,PASSERIFORMES,Grallariidae,Urrao Antpitta
4867,Grallaria erythrotis,SA,PASSERIFORMES,Grallariidae,Rufous-faced Antpitta
4868,Cryptopezus nattereri,SA,PASSERIFORMES,Grallariidae,Speckle-breasted Antpitta
4869,Hylopezus perspicillatus,"MA, SA",PASSERIFORMES,Grallariidae,Streak-chested Antpitta
4870,Hylopezus macularius,SA,PASSERIFORMES,Grallariidae,Spotted Antpitta
4871,Hylopezus paraensis,SA,PASSERIFORMES,Grallariidae,Snethlage's Antpitta
4872,Hylopezus whittakeri,SA,PASSERIFORMES,Grallariidae,Alta Floresta Antpitta
4873,Hylopezus auricularis,SA,PASSERIFORMES,Grallariidae,Masked Antpitta
4874,Hylopezus ochroleucus,SA,PASSERIFORMES,Grallariidae,White-browed Antpitta
4875,Myrmothera fulviventris,SA,PASSERIFORMES,Grallariidae,White-lored Antpitta
4876,Myrmothera berlepschi,SA,PASSERIFORMES,Grallariidae,Amazonian Antpitta
4877,Myrmothera dives,"MA, SA",PASSERIFORMES,Grallariidae,Thicket Antpitta
4878,Myrmothera simplex,SA,PASSERIFORMES,Grallariidae,Tepui Antpitta
4879,Myrmothera campanisona,SA,PASSERIFORMES,Grallariidae,Thrush-like Antpitta
4880,Myrmothera subcanescens,SA,PASSERIFORMES,Grallariidae,Tapajos Antpitta
4881,Grallaricula flavirostris,"MA, SA",PASSERIFORMES,Grallariidae,Ochre-breasted Antpitta
4882,Grallaricula loricata,SA,PASSERIFORMES,Grallariidae,Scallop-breasted Antpitta
4883,Grallaricula cucullata,SA,PASSERIFORMES,Grallariidae,Hooded Antpitta
4884,Grallaricula peruviana,SA,PASSERIFORMES,Grallariidae,Peruvian Antpitta
4885,Grallaricula ochraceifrons,SA,PASSERIFORMES,Grallariidae,Ochre-fronted Antpitta
4886,Grallaricula ferrugineipectus,SA,PASSERIFORMES,Grallariidae,Rusty-breasted Antpitta
4887,Grallaricula leymebambae,SA,PASSERIFORMES,Grallariidae,Rufous-breasted Antpitta
4888,Grallaricula nana,SA,PASSERIFORMES,Grallariidae,Slaty-crowned Antpitta
4889,Grallaricula cumanensis,SA,PASSERIFORMES,Grallariidae,Sucre Antpitta
4890,Grallaricula lineifrons,SA,PASSERIFORMES,Grallariidae,Crescent-faced Antpitta
4891,Conopophaga lineata,SA,PASSERIFORMES,Conopophagidae,Rufous Gnateater
4892,Conopophaga aurita,SA,PASSERIFORMES,Conopophagidae,Chestnut-belted Gnateater
4893,Conopophaga snethlageae,SA,PASSERIFORMES,Conopophagidae,Black-breasted Gnateater
4894,Conopophaga roberti,SA,PASSERIFORMES,Conopophagidae,Hooded Gnateater
4895,Conopophaga peruviana,SA,PASSERIFORMES,Conopophagidae,Ash-throated Gnateater
4896,Conopophaga cearae,SA,PASSERIFORMES,Conopophagidae,Ceara Gnateater
4897,Conopophaga ardesiaca,SA,PASSERIFORMES,Conopophagidae,Slaty Gnateater
4898,Conopophaga castaneiceps,SA,PASSERIFORMES,Conopophagidae,Chestnut-crowned Gnateater
4899,Conopophaga melanops,SA,PASSERIFORMES,Conopophagidae,Black-cheeked Gnateater
4900,Conopophaga melanogaster,SA,PASSERIFORMES,Conopophagidae,Black-bellied Gnateater
4901,Pittasoma michleri,"MA, SA",PASSERIFORMES,Conopophagidae,Black-crowned Antpitta
4902,Pittasoma rufopileatum,SA,PASSERIFORMES,Conopophagidae,Rufous-crowned Antpitta
4903,Acropternis orthonyx,SA,PASSERIFORMES,Rhinocryptidae,Ocellated Tapaculo
4904,Pteroptochos castaneus,SA,PASSERIFORMES,Rhinocryptidae,Chestnut-throated Huet-huet
4905,Pteroptochos tarnii,SA,PASSERIFORMES,Rhinocryptidae,Black-throated Huet-huet
4906,Pteroptochos megapodius,SA,PASSERIFORMES,Rhinocryptidae,Moustached Turca
4907,Scelorchilus albicollis,SA,PASSERIFORMES,Rhinocryptidae,White-throated Tapaculo
