,IOC,Breeding Range,Order,Family,Norwegian
6057,Tephrodornis virgatus,OR,PASSERIFORMES,Vangidae,storaskefugl
6058,Tephrodornis sylvicola,OR,PASSERIFORMES,Vangidae,malabaraskefugl
6059,Tephrodornis pondicerianus,OR,PASSERIFORMES,Vangidae,hvitbrynaskefugl
6060,Tephrodornis affinis,OR,PASSERIFORMES,Vangidae,dunkelaskefugl
6061,Philentoma pyrhoptera,OR,PASSERIFORMES,Vangidae,rustvingefilentoma
6062,Philentoma velata,OR,PASSERIFORMES,Vangidae,purpurbrystfilentoma
6063,Megabyas flammulatus,AF,PASSERIFORMES,Vangidae,hvitbrystbias
6064,Bias musicus,AF,PASSERIFORMES,Vangidae,toppbias
6065,Pityriasis gymnocephala,OR,PASSERIFORMES,Pityriasidae,børstehode
6066,Artamus fuscus,OR,PASSERIFORMES,Artamidae,askesvalestær
6067,Artamus leucorynchus,"AU, OR",PASSERIFORMES,Artamidae,hvitbuksvalestær
6068,Artamus mentalis,PO,PASSERIFORMES,Artamidae,fijisvalestær
6069,Artamus monachus,AU,PASSERIFORMES,Artamidae,hvitryggsvalestær
6070,Artamus maximus,AU,PASSERIFORMES,Artamidae,fjellsvalestær
6071,Artamus insignis,AU,PASSERIFORMES,Artamidae,bismarcksvalestær
6072,Artamus personatus,AU,PASSERIFORMES,Artamidae,maskesvalestær
6073,Artamus superciliosus,AU,PASSERIFORMES,Artamidae,hvitbrynsvalestær
6074,Artamus cinereus,AU,PASSERIFORMES,Artamidae,gråsvalestær
6075,Artamus cyanopterus,AU,PASSERIFORMES,Artamidae,sotsvalestær
6076,Artamus minor,AU,PASSERIFORMES,Artamidae,dvergsvalestær
6077,Peltops blainvillii,AU,PASSERIFORMES,Artamidae,lavlandspeltops
6078,Peltops montanus,AU,PASSERIFORMES,Artamidae,fjellpeltops
6079,Melloria quoyi,AU,PASSERIFORMES,Artamidae,svartslakterfugl
6080,Gymnorhina tibicen,AU,PASSERIFORMES,Artamidae,plystreskjære
6081,Cracticus torquatus,AU,PASSERIFORMES,Artamidae,gråryggslakterfugl
6082,Cracticus argenteus,AU,PASSERIFORMES,Artamidae,sølvryggslakterfugl
6083,Cracticus mentalis,AU,PASSERIFORMES,Artamidae,svartryggslakterfugl
6084,Cracticus nigrogularis,AU,PASSERIFORMES,Artamidae,sangslakterfugl
6085,Cracticus cassicus,AU,PASSERIFORMES,Artamidae,papuaslakterfugl
6086,Cracticus louisiadensis,AU,PASSERIFORMES,Artamidae,tagulaslakterfugl
6087,Strepera graculina,AU,PASSERIFORMES,Artamidae,østkurrawong
6088,Strepera fuliginosa,AU,PASSERIFORMES,Artamidae,tasmankurrawong
6089,Strepera versicolor,AU,PASSERIFORMES,Artamidae,sotkurrawong
6090,Rhagologus leucostigma,AU,PASSERIFORMES,Rhagologidae,vatreplystrer
6091,Aegithina tiphia,OR,PASSERIFORMES,Aegithinidae,parkløvfugl
6092,Aegithina nigrolutea,OR,PASSERIFORMES,Aegithinidae,rajaløvfugl
6093,Aegithina viridissima,OR,PASSERIFORMES,Aegithinidae,brilleløvfugl
6094,Aegithina lafresnayei,OR,PASSERIFORMES,Aegithinidae,storløvfugl
6095,Pericrocotus erythropygius,OR,PASSERIFORMES,Campephagidae,hvitbukmønjefugl
6096,Pericrocotus albifrons,OR,PASSERIFORMES,Campephagidae,hvitpannemønjefugl
6097,Pericrocotus igneus,OR,PASSERIFORMES,Campephagidae,ildmønjefugl
6098,Pericrocotus cinnamomeus,OR,PASSERIFORMES,Campephagidae,småmønjefugl
6099,Pericrocotus solaris,OR,PASSERIFORMES,Campephagidae,gråhakemønjefugl
6100,Pericrocotus miniatus,OR,PASSERIFORMES,Campephagidae,rødmønjefugl
6101,Pericrocotus brevirostris,OR,PASSERIFORMES,Campephagidae,kortnebbmønjefugl
6102,Pericrocotus lansbergei,AU,PASSERIFORMES,Campephagidae,floresmønjefugl
6103,Pericrocotus ethologus,OR,PASSERIFORMES,Campephagidae,langhalemønjefugl
6104,Pericrocotus flammeus,OR,PASSERIFORMES,Campephagidae,flammemønjefugl
6105,Pericrocotus speciosus,OR,PASSERIFORMES,Campephagidae,praktmønjefugl
6106,Pericrocotus divaricatus,PAL,PASSERIFORMES,Campephagidae,askemønjefugl
6107,Pericrocotus tegimae,PAL,PASSERIFORMES,Campephagidae,ryukyumønjefugl
6108,Pericrocotus cantonensis,PAL,PASSERIFORMES,Campephagidae,kinamønjefugl
6109,Pericrocotus roseus,OR,PASSERIFORMES,Campephagidae,rosenmønjefugl
6110,Ceblepyris cinereus,AF,PASSERIFORMES,Campephagidae,askelarveeter
6111,Ceblepyris cucullatus,AF,PASSERIFORMES,Campephagidae,komorlarveeter
6112,Ceblepyris graueri,AF,PASSERIFORMES,Campephagidae,kivularveeter
6113,Ceblepyris pectoralis,AF,PASSERIFORMES,Campephagidae,hvitbrystlarveeter
6114,Ceblepyris caesius,AF,PASSERIFORMES,Campephagidae,grålarveeter
6115,Coracina caeruleogrisea,AU,PASSERIFORMES,Campephagidae,grovnebblarveeter
6116,Coracina longicauda,AU,PASSERIFORMES,Campephagidae,hettelarveeter
6117,Coracina temminckii,AU,PASSERIFORMES,Campephagidae,blålarveeter
6118,Coracina bicolor,AU,PASSERIFORMES,Campephagidae,svarthvitlarveeter
6119,Coracina maxima,AU,PASSERIFORMES,Campephagidae,bakkelarveeter
6120,Coracina lineata,AU,PASSERIFORMES,Campephagidae,guløyelarveeter
6121,Coracina novaehollandiae,AU,PASSERIFORMES,Campephagidae,maskelarveeter
6122,Coracina boyeri,AU,PASSERIFORMES,Campephagidae,svarthakelarveeter
6123,Coracina fortis,AU,PASSERIFORMES,Campephagidae,burularveeter
6124,Coracina personata,AU,PASSERIFORMES,Campephagidae,wallacealarveeter
6125,Coracina welchmani,AU,PASSERIFORMES,Campephagidae,sothodelarveeter
6126,Coracina caledonica,AU,PASSERIFORMES,Campephagidae,melanesialarveeter
6127,Coracina striata,OR,PASSERIFORMES,Campephagidae,båndlarveeter
6128,Coracina javensis,OR,PASSERIFORMES,Campephagidae,javalarveeter
6129,Coracina macei,OR,PASSERIFORMES,Campephagidae,storlarveeter
6130,Coracina dobsoni,OR,PASSERIFORMES,Campephagidae,skrikelarveeter
6131,Coracina schistacea,AU,PASSERIFORMES,Campephagidae,skiferlarveeter
6132,Coracina leucopygia,AU,PASSERIFORMES,Campephagidae,hvitgumplarveeter
6133,Coracina larvata,OR,PASSERIFORMES,Campephagidae,sundalarveeter
6134,Coracina papuensis,AU,PASSERIFORMES,Campephagidae,hvitbuklarveeter
6135,Coracina ingens,AU,PASSERIFORMES,Campephagidae,manuslarveeter
6136,Coracina atriceps,AU,PASSERIFORMES,Campephagidae,molukklarveeter
6137,Campephaga flava,AF,PASSERIFORMES,Campephagidae,svartlarveeter
6138,Campephaga phoenicea,AF,PASSERIFORMES,Campephagidae,rødvingelarveeter
6139,Campephaga petiti,AF,PASSERIFORMES,Campephagidae,satenglarveeter
6140,Campephaga quiscalina,AF,PASSERIFORMES,Campephagidae,purpurlarveeter
6141,Lobotos lobatus,AF,PASSERIFORMES,Campephagidae,ildlarveeter
6142,Lobotos oriolinus,AF,PASSERIFORMES,Campephagidae,pirollarveeter
6143,Campochaera sloetii,AU,PASSERIFORMES,Campephagidae,gyllenlarveeter
6144,Malindangia mcgregori,OR,PASSERIFORMES,Campephagidae,alvelarveeter
6145,Edolisoma anale,AU,PASSERIFORMES,Campephagidae,brungumplarveeter
6146,Edolisoma ostentum,OR,PASSERIFORMES,Campephagidae,hvitvingelarveeter
6147,Edolisoma coerulescens,OR,PASSERIFORMES,Campephagidae,kullarveeter
6148,Edolisoma montanum,AU,PASSERIFORMES,Campephagidae,svartbuklarveeter
6149,Edolisoma dohertyi,AU,PASSERIFORMES,Campephagidae,sumbalarveeter
6150,Edolisoma dispar,AU,PASSERIFORMES,Campephagidae,kailarveeter
6151,Edolisoma schisticeps,AU,PASSERIFORMES,Campephagidae,sotlarveeter
6152,Edolisoma ceramense,AU,PASSERIFORMES,Campephagidae,bleklarveeter
6153,Edolisoma mindanense,OR,PASSERIFORMES,Campephagidae,svartbrystlarveeter
6154,Edolisoma salomonis,AU,PASSERIFORMES,Campephagidae,makirasikadefugl
6155,Edolisoma holopolium,AU,PASSERIFORMES,Campephagidae,salomonlarveeter
6156,Edolisoma morio,AU,PASSERIFORMES,Campephagidae,sulawesilarveeter
6157,Edolisoma incertum,AU,PASSERIFORMES,Campephagidae,fløyelslarveeter
6158,Edolisoma remotum,AU,PASSERIFORMES,Campephagidae,Grey-capped Cicadabird
6159,Edolisoma sula,AU,PASSERIFORMES,Campephagidae,sulalarveeter
6160,Edolisoma tenuirostre,AU,PASSERIFORMES,Campephagidae,sikadefugl
6161,Edolisoma admiralitatis,AU,PASSERIFORMES,Campephagidae,manussikadefugl
6162,Edolisoma monacha,PO,PASSERIFORMES,Campephagidae,Palau Cicadabird
6163,Edolisoma nesiotis,PO,PASSERIFORMES,Campephagidae,Yap Cicadabird
6164,Edolisoma insperatum,PO,PASSERIFORMES,Campephagidae,Pohnpei Cicadabird
6165,Edolisoma melas,AU,PASSERIFORMES,Campephagidae,beklarveeter
6166,Edolisoma parvulum,AU,PASSERIFORMES,Campephagidae,halmaheralarveeter
6167,Celebesica abbotti,AU,PASSERIFORMES,Campephagidae,rødøyelarveeter
6168,Cyanograucalus azureus,AF,PASSERIFORMES,Campephagidae,asurlarveeter
6169,Lalage maculosa,"AU, PO",PASSERIFORMES,Campephagidae,polynesiatrillefugl
6170,Lalage sharpei,PO,PASSERIFORMES,Campephagidae,rødnebbtrillefugl
6171,Lalage sueurii,"OR, AU",PASSERIFORMES,Campephagidae,hvitknoketrillefugl
6172,Lalage leucopyga,AU,PASSERIFORMES,Campephagidae,melanesiatrillefugl
6173,Lalage tricolor,AU,PASSERIFORMES,Campephagidae,hvitvingetrillefugl
6174,Lalage aurea,AU,PASSERIFORMES,Campephagidae,brunbuktrillefugl
6175,Lalage atrovirens,AU,PASSERIFORMES,Campephagidae,iriantrillefugl
6176,Lalage leucoptera,AU,PASSERIFORMES,Campephagidae,Biak Triller
6177,Lalage moesta,AU,PASSERIFORMES,Campephagidae,sørgetrillefugl
6178,Lalage leucomela,AU,PASSERIFORMES,Campephagidae,hvitbryntrillefugl
6179,Lalage conjuncta,AU,PASSERIFORMES,Campephagidae,mussautrilleugl
6180,Lalage melanoleuca,OR,PASSERIFORMES,Campephagidae,filippinertrillefugl
6181,Lalage nigra,OR,PASSERIFORMES,Campephagidae,parktrillefugl
6182,Lalage leucopygialis,AU,PASSERIFORMES,Campephagidae,hvitgumptrillefugl
6183,Lalage melaschistos,OR,PASSERIFORMES,Campephagidae,svartvingelarveeter
6184,Lalage melanoptera,OR,PASSERIFORMES,Campephagidae,svarthodelarveeter
6185,Lalage polioptera,OR,PASSERIFORMES,Campephagidae,nagalarveeter
6186,Lalage fimbriata,OR,PASSERIFORMES,Campephagidae,smålarveeter
6187,Lalage typica,IO,PASSERIFORMES,Campephagidae,mauritiuslarveeter
6188,Lalage newtoni,IO,PASSERIFORMES,Campephagidae,reunionlarveeter
6189,Mohoua ochrocephala,AU,PASSERIFORMES,Mohouidae,gulhodemohua
6190,Mohoua albicilla,AU,PASSERIFORMES,Mohouidae,hvithodemohua
6191,Mohoua novaeseelandiae,AU,PASSERIFORMES,Mohouidae,pipipi
6192,Daphoenositta chrysoptera,AU,PASSERIFORMES,Neosittidae,stripesittella
6193,Daphoenositta papuensis,AU,PASSERIFORMES,Neosittidae,papuasittella
6194,Daphoenositta miranda,AU,PASSERIFORMES,Neosittidae,svartsittella
6195,Eulacestoma nigropectus,AU,PASSERIFORMES,Eulacestomatidae,plognebb
6196,Aleadryas rufinucha,AU,PASSERIFORMES,Oreoicidae,rustnakkeplystrer
6197,Ornorectes cristatus,AU,PASSERIFORMES,Oreoicidae,alarmplystrer
6198,Oreoica gutturalis,AU,PASSERIFORMES,Oreoicidae,bjelleplystrer
6199,Falcunculus whitei,AU,PASSERIFORMES,Falcunculidae,Northern Shriketit
6200,Falcunculus leucogaster,AU,PASSERIFORMES,Falcunculidae,Western Shriketit
6201,Falcunculus frontatus,AU,PASSERIFORMES,Falcunculidae,barkplystrer
6202,Coracornis raveni,AU,PASSERIFORMES,Pachycephalidae,maronryggplystrer
6203,Coracornis sanghirensis,AU,PASSERIFORMES,Pachycephalidae,sangiheplystrer
6204,Melanorectes nigrescens,AU,PASSERIFORMES,Pachycephalidae,svartpitohui
6205,Pachycephala olivacea,AU,PASSERIFORMES,Pachycephalidae,olivenplystrer
6206,Pachycephala rufogularis,AU,PASSERIFORMES,Pachycephalidae,malleeplystrer
6207,Pachycephala inornata,AU,PASSERIFORMES,Pachycephalidae,krattplystrer
6208,Pachycephala cinerea,OR,PASSERIFORMES,Pachycephalidae,mangroveplystrer
6209,Pachycephala albiventris,OR,PASSERIFORMES,Pachycephalidae,luzonplystrer
6210,Pachycephala homeyeri,OR,PASSERIFORMES,Pachycephalidae,suluplystrer
6211,Pachycephala phaionota,AU,PASSERIFORMES,Pachycephalidae,molukkplystrer
6212,Pachycephala melanorhyncha,AU,PASSERIFORMES,Pachycephalidae,biakplystrer
6213,Pachycephala hyperythra,AU,PASSERIFORMES,Pachycephalidae,gråkroneplystrer
6214,Pachycephala modesta,AU,PASSERIFORMES,Pachycephalidae,brunryggplystrer
6215,Pachycephala philippinensis,OR,PASSERIFORMES,Pachycephalidae,filippinerplystrer
6216,Pachycephala sulfuriventer,AU,PASSERIFORMES,Pachycephalidae,svovelbukplystrer
6217,Pachycephala hypoxantha,OR,PASSERIFORMES,Pachycephalidae,borneoplystrer
6218,Pachycephala meyeri,AU,PASSERIFORMES,Pachycephalidae,vogelkopplystrer
6219,Pachycephala simplex,AU,PASSERIFORMES,Pachycephalidae,brunplystrer
6220,Pachycephala orpheus,AU,PASSERIFORMES,Pachycephalidae,orfeusplystrer
6221,Pachycephala soror,AU,PASSERIFORMES,Pachycephalidae,papuaplystrer
6222,Pachycephala fulvotincta,"OR, AU",PASSERIFORMES,Pachycephalidae,sundaplystrer
6223,Pachycephala macrorhyncha,AU,PASSERIFORMES,Pachycephalidae,wallaceaplystrer
6224,Pachycephala balim,AU,PASSERIFORMES,Pachycephalidae,baliemplystrer
6225,Pachycephala mentalis,AU,PASSERIFORMES,Pachycephalidae,halmaheraplystrer
6226,Pachycephala pectoralis,AU,PASSERIFORMES,Pachycephalidae,gullplystrer
6227,Pachycephala fuliginosa,AU,PASSERIFORMES,Pachycephalidae,darlingplystrer
6228,Pachycephala citreogaster,AU,PASSERIFORMES,Pachycephalidae,bismarckplystrer
6229,Pachycephala orioloides,AU,PASSERIFORMES,Pachycephalidae,pirolplystrer
6230,Pachycephala collaris,AU,PASSERIFORMES,Pachycephalidae,louisiadeplystrer
6231,Pachycephala feminina,AU,PASSERIFORMES,Pachycephalidae,rennellplystrer
6232,Pachycephala chlorura,AU,PASSERIFORMES,Pachycephalidae,vanuatuplystrer
6233,Pachycephala caledonica,AU,PASSERIFORMES,Pachycephalidae,kanakplystrer
6234,Pachycephala vitiensis,PO,PASSERIFORMES,Pachycephalidae,fijiplystrer
6235,Pachycephala vanikorensis,AU,PASSERIFORMES,Pachycephalidae,temotuplystrer
6236,Pachycephala jacquinoti,PO,PASSERIFORMES,Pachycephalidae,tongaplystrer
6237,Pachycephala melanura,AU,PASSERIFORMES,Pachycephalidae,svarthaleplystrer
6238,Pachycephala flavifrons,PO,PASSERIFORMES,Pachycephalidae,samoaplystrer
6239,Pachycephala implicata,AU,PASSERIFORMES,Pachycephalidae,guadalcanalplystrer
6240,Pachycephala richardsi,AU,PASSERIFORMES,Pachycephalidae,bougainvilleplystrer
6241,Pachycephala nudigula,AU,PASSERIFORMES,Pachycephalidae,nakenstrupeplystrer
6242,Pachycephala lorentzi,AU,PASSERIFORMES,Pachycephalidae,gråbrystplystrer
6243,Pachycephala schlegelii,AU,PASSERIFORMES,Pachycephalidae,regentplystrer
6244,Pachycephala aurea,AU,PASSERIFORMES,Pachycephalidae,gullryggplystrer
6245,Pachycephala rufiventris,AU,PASSERIFORMES,Pachycephalidae,rustbukplystrer
6246,Pachycephala monacha,AU,PASSERIFORMES,Pachycephalidae,munkeplystrer
6247,Pachycephala leucogastra,AU,PASSERIFORMES,Pachycephalidae,hvitbukplystrer
6248,Pachycephala arctitorquis,AU,PASSERIFORMES,Pachycephalidae,gråryggplystrer
6249,Pachycephala griseonota,AU,PASSERIFORMES,Pachycephalidae,askeplystrer
6250,Pachycephala johni,AU,PASSERIFORMES,Pachycephalidae,Cinnamon-breasted Whistler
6251,Pachycephala lanioides,AU,PASSERIFORMES,Pachycephalidae,krageplystrer
6252,Pachycephala tenebrosa,PO,PASSERIFORMES,Pachycephalidae,demringsplystrer
6253,Pseudorectes incertus,AU,PASSERIFORMES,Pachycephalidae,lysbukpitohui
6254,Pseudorectes ferrugineus,AU,PASSERIFORMES,Pachycephalidae,rustpitohui
6255,Colluricincla boweri,AU,PASSERIFORMES,Pachycephalidae,kanelplystrer
6256,Colluricincla tenebrosa,AU,PASSERIFORMES,Pachycephalidae,sotplystrer
6257,Colluricincla megarhyncha,AU,PASSERIFORMES,Pachycephalidae,løvplystrer
6258,Colluricincla fortis,AU,PASSERIFORMES,Pachycephalidae,Variable Shrikethrush
6259,Colluricincla affinis,AU,PASSERIFORMES,Pachycephalidae,Waigeo Shrikethrush
6260,Colluricincla obscura,AU,PASSERIFORMES,Pachycephalidae,Mamberamo Shrikethrush
6261,Colluricincla discolor,AU,PASSERIFORMES,Pachycephalidae,Tagula Shrikethrush
6262,Colluricincla tappenbecki,AU,PASSERIFORMES,Pachycephalidae,Sepik-Ramu Shrikethrush
6263,Colluricincla rufogaster,AU,PASSERIFORMES,Pachycephalidae,Rufous Shrikethrush
6264,Colluricincla harmonica,AU,PASSERIFORMES,Pachycephalidae,hvittøyleplystrer
6265,Colluricincla woodwardi,AU,PASSERIFORMES,Pachycephalidae,sandstein(s)plystrer
6266,Pteruthius xanthochlorus,OR,PASSERIFORMES,Vireonidae,grønnprakttimal
6267,Pteruthius melanotis,OR,PASSERIFORMES,Vireonidae,gulkinnprakttimal
6268,Pteruthius rufiventer,OR,PASSERIFORMES,Vireonidae,svarthodeprakttimal
6269,Pteruthius aeralatus,OR,PASSERIFORMES,Vireonidae,jungelprakttimal
6270,Pteruthius flaviscapis,OR,PASSERIFORMES,Vireonidae,hvitbrynprakttimal
6271,Pteruthius intermedius,OR,PASSERIFORMES,Vireonidae,klikkeprakttimal
6272,Pteruthius aenobarbus,OR,PASSERIFORMES,Vireonidae,trilleprakttimal
6273,Erpornis zantholeuca,OR,PASSERIFORMES,Vireonidae,grønntopp
6274,Cyclarhis gujanensis,"MA, SA",PASSERIFORMES,Vireonidae,rustbrynvireo
6275,Cyclarhis nigrirostris,SA,PASSERIFORMES,Vireonidae,svartnebbvireo
6276,Vireolanius melitophrys,MA,PASSERIFORMES,Vireonidae,kastanjebrystvireo
6277,Vireolanius pulchellus,MA,PASSERIFORMES,Vireonidae,smaragdvireo
6278,Vireolanius eximius,"MA, SA",PASSERIFORMES,Vireonidae,beryllvireo
6279,Vireolanius leucotis,SA,PASSERIFORMES,Vireonidae,skiferkronevireo
6280,Hylophilus amaurocephalus,SA,PASSERIFORMES,Vireonidae,caatingavireo
6281,Hylophilus poicilotis,SA,PASSERIFORMES,Vireonidae,rustkronevireo
6282,Hylophilus olivaceus,SA,PASSERIFORMES,Vireonidae,olivenvireo
6283,Hylophilus pectoralis,SA,PASSERIFORMES,Vireonidae,gråhodevireo
6284,Hylophilus brunneiceps,SA,PASSERIFORMES,Vireonidae,negrovireo
6285,Hylophilus thoracicus,SA,PASSERIFORMES,Vireonidae,sitronbrystvireo
6286,Hylophilus flavipes,"MA, SA",PASSERIFORMES,Vireonidae,buskvireo
6287,Hylophilus semicinereus,SA,PASSERIFORMES,Vireonidae,gråbrystvireo
6288,Tunchiornis ochraceiceps,"MA, SA",PASSERIFORMES,Vireonidae,rustpannevireo
6289,Pachysylvia decurtata,"MA, SA",PASSERIFORMES,Vireonidae,korthalevireo
6290,Pachysylvia hypoxantha,SA,PASSERIFORMES,Vireonidae,amazonvireo
6291,Pachysylvia muscicapina,SA,PASSERIFORMES,Vireonidae,ferskenbrystvireo
6292,Pachysylvia aurantiifrons,SA,PASSERIFORMES,Vireonidae,gullpannevireo
6293,Pachysylvia semibrunnea,SA,PASSERIFORMES,Vireonidae,rustkappevireo
6294,Vireo hypochryseus,MA,PASSERIFORMES,Vireonidae,gulvireo
6295,Vireo flavoviridis,MA,PASSERIFORMES,Vireonidae,gulsidevireo
6296,Vireo magister,MA,PASSERIFORMES,Vireonidae,yucatánvireo
6297,Vireo chivi,SA,PASSERIFORMES,Vireonidae,brunøyevireo
6298,Vireo gracilirostris,SA,PASSERIFORMES,Vireonidae,noronhavireo
6299,Vireo sclateri,SA,PASSERIFORMES,Vireonidae,tepuivireo
6300,Vireo gilvus,"NA, MA",PASSERIFORMES,Vireonidae,sangvireo
6301,Vireo leucophrys,"MA, SA",PASSERIFORMES,Vireonidae,brunkronevireo
6302,Vireo huttoni,"NA, MA",PASSERIFORMES,Vireonidae,eikevireo
6303,Vireo vicinior,"NA, MA",PASSERIFORMES,Vireonidae,gråvireo
6304,Vireo carmioli,MA,PASSERIFORMES,Vireonidae,gulbåndvireo
6305,Vireo masteri,SA,PASSERIFORMES,Vireonidae,chocovireo
6306,Vireo cassinii,"NA, MA",PASSERIFORMES,Vireonidae,kaliforniavireo
6307,Vireo plumbeus,"NA, MA",PASSERIFORMES,Vireonidae,blyvireo
6308,Vireo pallens,MA,PASSERIFORMES,Vireonidae,mangrovevireo
6309,Vireo approximans,MA,PASSERIFORMES,Vireonidae,Providencia Vireo
6310,Vireo bairdi,MA,PASSERIFORMES,Vireonidae,cozumelvireo
6311,Vireo caribaeus,MA,PASSERIFORMES,Vireonidae,sanandresvireo
6312,Vireo griseus,"NA, MA",PASSERIFORMES,Vireonidae,hvitøyevireo
6313,Vireo bellii,"NA, MA",PASSERIFORMES,Vireonidae,krattvireo
6314,Vireo atricapilla,"NA, MA",PASSERIFORMES,Vireonidae,svarthettevireo
6315,Vireo nelsoni,MA,PASSERIFORMES,Vireonidae,dvergvireo
6316,Vireo brevipennis,MA,PASSERIFORMES,Vireonidae,skifervireo
6317,Sphecotheres viridis,AU,PASSERIFORMES,Oriolidae,grønnfikenfugl
6318,Sphecotheres hypoleucus,AU,PASSERIFORMES,Oriolidae,wetarfikenfugl
6319,Sphecotheres vieilloti,AU,PASSERIFORMES,Oriolidae,australfikenfugl
6320,Pitohui kirhocephalus,AU,PASSERIFORMES,Oriolidae,vekselpitohui
6321,Pitohui cerviniventris,AU,PASSERIFORMES,Oriolidae,waigeopitohui
6322,Pitohui uropygialis,AU,PASSERIFORMES,Oriolidae,maronpitohui
6323,Pitohui dichrous,AU,PASSERIFORMES,Oriolidae,giftpitohui
6324,Oriolus isabellae,OR,PASSERIFORMES,Oriolidae,bambuspirol
6325,Oriolus forsteni,AU,PASSERIFORMES,Oriolidae,serampirol
6326,Oriolus bouroensis,AU,PASSERIFORMES,Oriolidae,burupirol
6327,Oriolus phaeochromus,AU,PASSERIFORMES,Oriolidae,halmaherapirol
6328,Oriolus sagittatus,AU,PASSERIFORMES,Oriolidae,tårepirol
6329,Oriolus melanotis,AU,PASSERIFORMES,Oriolidae,timorpirol
6330,Oriolus finschi,AU,PASSERIFORMES,Oriolidae,Wetar Oriole
6331,Oriolus decipiens,AU,PASSERIFORMES,Oriolidae,tanimbarpirol
6332,Oriolus szalayi,AU,PASSERIFORMES,Oriolidae,brunpirol
6333,Oriolus flavocinctus,AU,PASSERIFORMES,Oriolidae,grønnpirol
6334,Oriolus cruentus,OR,PASSERIFORMES,Oriolidae,rødbrystpirol
6335,Oriolus consanguineus,OR,PASSERIFORMES,Oriolidae,Black-and-crimson Oriole
6336,Oriolus hosii,OR,PASSERIFORMES,Oriolidae,svartpirol
6337,Oriolus traillii,OR,PASSERIFORMES,Oriolidae,blodpirol
6338,Oriolus mellianus,OR,PASSERIFORMES,Oriolidae,sølvpirol
6339,Oriolus xanthornus,OR,PASSERIFORMES,Oriolidae,orientpirol
6340,Oriolus xanthonotus,OR,PASSERIFORMES,Oriolidae,stripepirol
6341,Oriolus consobrinus,OR,PASSERIFORMES,Oriolidae,Ventriloquial Oriole
6342,Oriolus steerii,OR,PASSERIFORMES,Oriolidae,filippinerpirol
6343,Oriolus albiloris,OR,PASSERIFORMES,Oriolidae,tøylepirol
6344,Oriolus chlorocephalus,AF,PASSERIFORMES,Oriolidae,grønnhodepirol
6345,Oriolus brachyrynchus,AF,PASSERIFORMES,Oriolidae,jungelpirol
6346,Oriolus crassirostris,AF,PASSERIFORMES,Oriolidae,tykknebbpirol
6347,Oriolus larvatus,AF,PASSERIFORMES,Oriolidae,savannepirol
6348,Oriolus monacha,AF,PASSERIFORMES,Oriolidae,einerpirol
6349,Oriolus percivali,AF,PASSERIFORMES,Oriolidae,tåkepirol
6350,Oriolus nigripennis,AF,PASSERIFORMES,Oriolidae,svartvingepirol
6351,Oriolus auratus,AF,PASSERIFORMES,Oriolidae,gullpirol
6352,Oriolus kundoo,PAL,PASSERIFORMES,Oriolidae,indiapirol
6353,Oriolus oriolus,PAL,PASSERIFORMES,Oriolidae,pirol
6354,Oriolus chinensis,"OR, AU",PASSERIFORMES,Oriolidae,svartnakkepirol
6355,Oriolus tenuirostris,OR,PASSERIFORMES,Oriolidae,smalnebbpirol
6356,Dicrurus aeneus,OR,PASSERIFORMES,Dicruridae,bronsedrongo
6357,Dicrurus remifer,OR,PASSERIFORMES,Dicruridae,vimpeldrongo
6358,Dicrurus annectens,OR,PASSERIFORMES,Dicruridae,tykknebbdrongo
6359,Dicrurus paradiseus,OR,PASSERIFORMES,Dicruridae,dragedrongo
6360,Dicrurus lophorinus,OR,PASSERIFORMES,Dicruridae,veddadrongo
6361,Dicrurus andamanensis,OR,PASSERIFORMES,Dicruridae,andamandrongo
6362,Dicrurus sumatranus,OR,PASSERIFORMES,Dicruridae,sumatradrongo
6363,Dicrurus montanus,AU,PASSERIFORMES,Dicruridae,sulawesidrongo
6364,Dicrurus bracteatus,AU,PASSERIFORMES,Dicruridae,brokadedrongo
6365,Dicrurus megarhynchus,AU,PASSERIFORMES,Dicruridae,serpentindrongo
6366,Dicrurus hottentottus,"OR, AU",PASSERIFORMES,Dicruridae,hårdrongo
6367,Dicrurus menagei,OR,PASSERIFORMES,Dicruridae,tablasdrongo
6368,Dicrurus palawanensis,OR,PASSERIFORMES,Dicruridae,Palawan Drongo
6369,Dicrurus balicassius,OR,PASSERIFORMES,Dicruridae,filippinerdrongo
6370,Dicrurus striatus,OR,PASSERIFORMES,Dicruridae,Short-tailed Drongo
6371,Dicrurus densus,OR,PASSERIFORMES,Dicruridae,sundadrongo
6372,Dicrurus leucophaeus,OR,PASSERIFORMES,Dicruridae,askedrongo
6373,Dicrurus caerulescens,OR,PASSERIFORMES,Dicruridae,hvitbukdrongo
6374,Dicrurus waldenii,AF,PASSERIFORMES,Dicruridae,mayottedrongo
6375,Dicrurus forficatus,AF,PASSERIFORMES,Dicruridae,børstedrongo
6376,Dicrurus aldabranus,AF,PASSERIFORMES,Dicruridae,aldabradrongo
6377,Dicrurus fuscipennis,AF,PASSERIFORMES,Dicruridae,komordrongo
6378,Dicrurus modestus,AF,PASSERIFORMES,Dicruridae,jungeldrongo
6379,Dicrurus adsimilis,AF,PASSERIFORMES,Dicruridae,savannedrongo
6380,Dicrurus macrocercus,OR,PASSERIFORMES,Dicruridae,svartdrongo
