,IOC,Breeding Range,Order,Family,Russian
6192,Daphoenositta chrysoptera,AU,PASSERIFORMES,Neosittidae,Изменчивая сителла
6193,Daphoenositta papuensis,AU,PASSERIFORMES,Neosittidae,Горная сителла
6194,Daphoenositta miranda,AU,PASSERIFORMES,Neosittidae,Краснолицый поползень
6195,Eulacestoma nigropectus,AU,PASSERIFORMES,Eulacestomatidae,Серёжчатая толстоголовка
6196,Aleadryas rufinucha,AU,PASSERIFORMES,Oreoicidae,Рыжезатылочный свистун
6197,Ornorectes cristatus,AU,PASSERIFORMES,Oreoicidae,Хохлатая дроздовая мухоловка
6198,Oreoica gutturalis,AU,PASSERIFORMES,Oreoicidae,Австралийская птица-колокольчик
6199,Falcunculus whitei,AU,PASSERIFORMES,Falcunculidae,Northern Shriketit
6200,Falcunculus leucogaster,AU,PASSERIFORMES,Falcunculidae,Western Shriketit
6201,Falcunculus frontatus,AU,PASSERIFORMES,Falcunculidae,Синичья толстоголовка
6202,Coracornis raveni,AU,PASSERIFORMES,Pachycephalidae,Красноспинный свистун
6203,Coracornis sanghirensis,AU,PASSERIFORMES,Pachycephalidae,Сангирский свистун
6204,Melanorectes nigrescens,AU,PASSERIFORMES,Pachycephalidae,Чёрная дроздовая мухоловка
6205,Pachycephala olivacea,AU,PASSERIFORMES,Pachycephalidae,Оливковый свистун
6206,Pachycephala rufogularis,AU,PASSERIFORMES,Pachycephalidae,Рыжегорлый свистун
6207,Pachycephala inornata,AU,PASSERIFORMES,Pachycephalidae,Красногорлый свистун
6208,Pachycephala cinerea,OR,PASSERIFORMES,Pachycephalidae,Белобрюхий свистун
6209,Pachycephala albiventris,OR,PASSERIFORMES,Pachycephalidae,Светлобрюхий свистун
6210,Pachycephala homeyeri,OR,PASSERIFORMES,Pachycephalidae,Темноспинный свистун
6211,Pachycephala phaionota,AU,PASSERIFORMES,Pachycephalidae,Береговой свистун
6212,Pachycephala melanorhyncha,AU,PASSERIFORMES,Pachycephalidae,Биакский свистун
6213,Pachycephala hyperythra,AU,PASSERIFORMES,Pachycephalidae,Рыжегрудый свистун
6214,Pachycephala modesta,AU,PASSERIFORMES,Pachycephalidae,Буроспинный свистун
6215,Pachycephala philippinensis,OR,PASSERIFORMES,Pachycephalidae,Филиппинский свистун
6216,Pachycephala sulfuriventer,AU,PASSERIFORMES,Pachycephalidae,Желтобрюхий свистун
6217,Pachycephala hypoxantha,OR,PASSERIFORMES,Pachycephalidae,Саравакский свистун
6218,Pachycephala meyeri,AU,PASSERIFORMES,Pachycephalidae,Красноухий свистун
6219,Pachycephala simplex,AU,PASSERIFORMES,Pachycephalidae,Бурый свистун
6220,Pachycephala orpheus,AU,PASSERIFORMES,Pachycephalidae,Тиморский свистун
6221,Pachycephala soror,AU,PASSERIFORMES,Pachycephalidae,Зеленошейный свистун
6222,Pachycephala fulvotincta,"OR, AU",PASSERIFORMES,Pachycephalidae,Белогорлый свистун
6223,Pachycephala macrorhyncha,AU,PASSERIFORMES,Pachycephalidae,Желтогорлый свистун
6224,Pachycephala balim,AU,PASSERIFORMES,Pachycephalidae,Балимский свистун
6225,Pachycephala mentalis,AU,PASSERIFORMES,Pachycephalidae,Хальмахерский свистун
6226,Pachycephala pectoralis,AU,PASSERIFORMES,Pachycephalidae,Золотой свистун
6227,Pachycephala fuliginosa,AU,PASSERIFORMES,Pachycephalidae,Западный свистун
6228,Pachycephala citreogaster,AU,PASSERIFORMES,Pachycephalidae,Бисмаркский свистун
6229,Pachycephala orioloides,AU,PASSERIFORMES,Pachycephalidae,Иволговый свистун
6230,Pachycephala collaris,AU,PASSERIFORMES,Pachycephalidae,Луизиадский свистун
6231,Pachycephala feminina,AU,PASSERIFORMES,Pachycephalidae,Реннелльский свистун
6232,Pachycephala chlorura,AU,PASSERIFORMES,Pachycephalidae,Меланезийский свистун
6233,Pachycephala caledonica,AU,PASSERIFORMES,Pachycephalidae,Новокаледонский свистун
6234,Pachycephala vitiensis,PO,PASSERIFORMES,Pachycephalidae,Белозобый свистун
6235,Pachycephala vanikorensis,AU,PASSERIFORMES,Pachycephalidae,Ваникорский свистун
6236,Pachycephala jacquinoti,PO,PASSERIFORMES,Pachycephalidae,Тонганский свистун
6237,Pachycephala melanura,AU,PASSERIFORMES,Pachycephalidae,Мангровый свистун
6238,Pachycephala flavifrons,PO,PASSERIFORMES,Pachycephalidae,Самоанский свистун
6239,Pachycephala implicata,AU,PASSERIFORMES,Pachycephalidae,Бугенвильский свистун
6240,Pachycephala richardsi,AU,PASSERIFORMES,Pachycephalidae,Бугенвильский свистун
6241,Pachycephala nudigula,AU,PASSERIFORMES,Pachycephalidae,Гологорлый свистун
6242,Pachycephala lorentzi,AU,PASSERIFORMES,Pachycephalidae,Свистун Лоренца
6243,Pachycephala schlegelii,AU,PASSERIFORMES,Pachycephalidae,Свистун Шлегеля
6244,Pachycephala aurea,AU,PASSERIFORMES,Pachycephalidae,Желтоспинный свистун
6245,Pachycephala rufiventris,AU,PASSERIFORMES,Pachycephalidae,Ожерелковый свистун
6246,Pachycephala monacha,AU,PASSERIFORMES,Pachycephalidae,Черноголовый свистун
6247,Pachycephala leucogastra,AU,PASSERIFORMES,Pachycephalidae,Белобрюхий свистун
6248,Pachycephala arctitorquis,AU,PASSERIFORMES,Pachycephalidae,Танимбарский свистун
6249,Pachycephala griseonota,AU,PASSERIFORMES,Pachycephalidae,Молуккский свистун
6250,Pachycephala johni,AU,PASSERIFORMES,Pachycephalidae,Cinnamon-breasted Whistler
6251,Pachycephala lanioides,AU,PASSERIFORMES,Pachycephalidae,Свистун-галстучник
6252,Pachycephala tenebrosa,PO,PASSERIFORMES,Pachycephalidae,Тёмный свистун
6253,Pseudorectes incertus,AU,PASSERIFORMES,Pachycephalidae,Пестрогрудая дроздовая мухоловка
6254,Pseudorectes ferrugineus,AU,PASSERIFORMES,Pachycephalidae,Рыжая дроздовая мухоловка
6255,Colluricincla boweri,AU,PASSERIFORMES,Pachycephalidae,Зеленоспинная сорокопутовая мухоловка
6256,Colluricincla tenebrosa,AU,PASSERIFORMES,Pachycephalidae,Черноватая сорокопутовая мухоловка
6257,Colluricincla megarhyncha,AU,PASSERIFORMES,Pachycephalidae,Лесная сорокопутовая мухоловка
6258,Colluricincla fortis,AU,PASSERIFORMES,Pachycephalidae,Сероголовая сорокопутовая мухоловка
6259,Colluricincla affinis,AU,PASSERIFORMES,Pachycephalidae,Бурая сорокопутовая мухоловка
6260,Colluricincla obscura,AU,PASSERIFORMES,Pachycephalidae,Тёмная сорокопутовая мухоловка
6261,Colluricincla discolor,AU,PASSERIFORMES,Pachycephalidae,Тагуланская сорокопутовая мухоловка
6262,Colluricincla tappenbecki,AU,PASSERIFORMES,Pachycephalidae,Желтобрюхая сорокопутовая мухоловка
6263,Colluricincla rufogaster,AU,PASSERIFORMES,Pachycephalidae,Ржавобрюхая сорокопутовая мухоловка
6264,Colluricincla harmonica,AU,PASSERIFORMES,Pachycephalidae,Серогрудая сорокопутовая мухоловка
6265,Colluricincla woodwardi,AU,PASSERIFORMES,Pachycephalidae,Ричневогрудая сорокопутовая мухоловка
6266,Pteruthius xanthochlorus,OR,PASSERIFORMES,Vireonidae,Зелёная сорокопутовая тимелия
6267,Pteruthius melanotis,OR,PASSERIFORMES,Vireonidae,Черноухая сорокопутовая тимелия
6268,Pteruthius rufiventer,OR,PASSERIFORMES,Vireonidae,Краснобрюхая сорокопутовая тимелия
6269,Pteruthius aeralatus,OR,PASSERIFORMES,Vireonidae,White-browed Shrike-babbler
6270,Pteruthius flaviscapis,OR,PASSERIFORMES,Vireonidae,Краснокрылая сорокопутовая тимелия
6271,Pteruthius intermedius,OR,PASSERIFORMES,Vireonidae,Clicking Shrike-babbler
6272,Pteruthius aenobarbus,OR,PASSERIFORMES,Vireonidae,Краснолобая сорокопутовая тимелия
6273,Erpornis zantholeuca,OR,PASSERIFORMES,Vireonidae,Зеленоспинная юхина
6274,Cyclarhis gujanensis,"MA, SA",PASSERIFORMES,Vireonidae,Краснобровый попугайный виреон
6275,Cyclarhis nigrirostris,SA,PASSERIFORMES,Vireonidae,Черноклювый попугайный виреон
6276,Vireolanius melitophrys,MA,PASSERIFORMES,Vireonidae,Каштановогрудый сорокопутовый виреон
6277,Vireolanius pulchellus,MA,PASSERIFORMES,Vireonidae,Зелёный сорокопутовый виреон
6278,Vireolanius eximius,"MA, SA",PASSERIFORMES,Vireonidae,Желтобровый сорокопутовый виреон
6279,Vireolanius leucotis,SA,PASSERIFORMES,Vireonidae,Серошапочный сорокопутовый виреон
6280,Hylophilus amaurocephalus,SA,PASSERIFORMES,Vireonidae,Сероглазый южноамериканский виреон
6281,Hylophilus poicilotis,SA,PASSERIFORMES,Vireonidae,Рыжеголовый южноамериканский виреон
6282,Hylophilus olivaceus,SA,PASSERIFORMES,Vireonidae,Оливковый южноамериканский виреон
6283,Hylophilus pectoralis,SA,PASSERIFORMES,Vireonidae,Пепельноголовый южноамериканский виреон
6284,Hylophilus brunneiceps,SA,PASSERIFORMES,Vireonidae,Буроголовый южноамериканский виреон
6285,Hylophilus thoracicus,SA,PASSERIFORMES,Vireonidae,Желтогрудый южноамериканский виреон
6286,Hylophilus flavipes,"MA, SA",PASSERIFORMES,Vireonidae,Кустарниковый южноамериканский виреон
6287,Hylophilus semicinereus,SA,PASSERIFORMES,Vireonidae,Серогрудый южноамериканский виреон
6288,Tunchiornis ochraceiceps,"MA, SA",PASSERIFORMES,Vireonidae,Оранжеволобый южноамериканский виреон
6289,Pachysylvia decurtata,"MA, SA",PASSERIFORMES,Vireonidae,Сероголовый южноамериканский виреон
6290,Pachysylvia hypoxantha,SA,PASSERIFORMES,Vireonidae,Темношапочный южноамериканский виреон
6291,Pachysylvia muscicapina,SA,PASSERIFORMES,Vireonidae,Оранжевогрудый южноамериканский виреон
6292,Pachysylvia aurantiifrons,SA,PASSERIFORMES,Vireonidae,Золотолобый южноамериканский виреон
6293,Pachysylvia semibrunnea,SA,PASSERIFORMES,Vireonidae,Белощёкий южноамериканский виреон
6294,Vireo hypochryseus,MA,PASSERIFORMES,Vireonidae,Золотобрюхий виреон
6295,Vireo flavoviridis,MA,PASSERIFORMES,Vireonidae,Зелёно-жёлтый виреон
6296,Vireo magister,MA,PASSERIFORMES,Vireonidae,Юкатанский виреон
6297,Vireo chivi,SA,PASSERIFORMES,Vireonidae,Виреон чиви
6298,Vireo gracilirostris,SA,PASSERIFORMES,Vireonidae,Тонкоклювый виреон
6299,Vireo sclateri,SA,PASSERIFORMES,Vireonidae,Желтолобый южноамериканский виреон
6300,Vireo gilvus,"NA, MA",PASSERIFORMES,Vireonidae,Поющий виреон
6301,Vireo leucophrys,"MA, SA",PASSERIFORMES,Vireonidae,Светлобровый виреон
6302,Vireo huttoni,"NA, MA",PASSERIFORMES,Vireonidae,Короткоклювый виреон
6303,Vireo vicinior,"NA, MA",PASSERIFORMES,Vireonidae,Серый виреон
6304,Vireo carmioli,MA,PASSERIFORMES,Vireonidae,Желтополосый виреон
6305,Vireo masteri,SA,PASSERIFORMES,Vireonidae,Чокский виреон
6306,Vireo cassinii,"NA, MA",PASSERIFORMES,Vireonidae,Виреон Кассина
6307,Vireo plumbeus,"NA, MA",PASSERIFORMES,Vireonidae,Сизый виреон
6308,Vireo pallens,MA,PASSERIFORMES,Vireonidae,Мангровый виреон
6309,Vireo approximans,MA,PASSERIFORMES,Vireonidae,Providencia Vireo
6310,Vireo bairdi,MA,PASSERIFORMES,Vireonidae,Островной виреон
6311,Vireo caribaeus,MA,PASSERIFORMES,Vireonidae,Карибский виреон
6312,Vireo griseus,"NA, MA",PASSERIFORMES,Vireonidae,Белоглазый виреон
6313,Vireo bellii,"NA, MA",PASSERIFORMES,Vireonidae,Виреон Белла
6314,Vireo atricapilla,"NA, MA",PASSERIFORMES,Vireonidae,Черноголовый виреон
6315,Vireo nelsoni,MA,PASSERIFORMES,Vireonidae,Карликовый виреон
6316,Vireo brevipennis,MA,PASSERIFORMES,Vireonidae,Шиферный виреон
6317,Sphecotheres viridis,AU,PASSERIFORMES,Oriolidae,Тиморская фиговая иволга
6318,Sphecotheres hypoleucus,AU,PASSERIFORMES,Oriolidae,Ветарская фиговая иволга
6319,Sphecotheres vieilloti,AU,PASSERIFORMES,Oriolidae,Белогорлая фиговая иволга
6320,Pitohui kirhocephalus,AU,PASSERIFORMES,Oriolidae,Охристый питоху
6321,Pitohui cerviniventris,AU,PASSERIFORMES,Oriolidae,Рыжебрюхий питоху
6322,Pitohui uropygialis,AU,PASSERIFORMES,Oriolidae,Южный питоху
6323,Pitohui dichrous,AU,PASSERIFORMES,Oriolidae,Двухцветный питоху
6324,Oriolus isabellae,OR,PASSERIFORMES,Oriolidae,Иволга Изабеллы
6325,Oriolus forsteni,AU,PASSERIFORMES,Oriolidae,Иволга Форстена
6326,Oriolus bouroensis,AU,PASSERIFORMES,Oriolidae,Буруйская иволга
6327,Oriolus phaeochromus,AU,PASSERIFORMES,Oriolidae,Хальмахерская иволга
6328,Oriolus sagittatus,AU,PASSERIFORMES,Oriolidae,Полосатая иволга
6329,Oriolus melanotis,AU,PASSERIFORMES,Oriolidae,Тиморская иволга
6330,Oriolus finschi,AU,PASSERIFORMES,Oriolidae,Wetar Oriole
6331,Oriolus decipiens,AU,PASSERIFORMES,Oriolidae,Танимбарская иволга
6332,Oriolus szalayi,AU,PASSERIFORMES,Oriolidae,Бурая иволга
6333,Oriolus flavocinctus,AU,PASSERIFORMES,Oriolidae,Мангровая иволга
6334,Oriolus cruentus,OR,PASSERIFORMES,Oriolidae,Малиновогрудая иволга
6335,Oriolus consanguineus,OR,PASSERIFORMES,Oriolidae,Black-and-crimson Oriole
6336,Oriolus hosii,OR,PASSERIFORMES,Oriolidae,Чёрная иволга
6337,Oriolus traillii,OR,PASSERIFORMES,Oriolidae,Кровавая иволга
6338,Oriolus mellianus,OR,PASSERIFORMES,Oriolidae,Серебряная иволга
6339,Oriolus xanthornus,OR,PASSERIFORMES,Oriolidae,Черноголовая иволга
6340,Oriolus xanthonotus,OR,PASSERIFORMES,Oriolidae,Пестробокая иволга
6341,Oriolus consobrinus,OR,PASSERIFORMES,Oriolidae,Ventriloquial Oriole
6342,Oriolus steerii,OR,PASSERIFORMES,Oriolidae,Серогрудая иволга
6343,Oriolus albiloris,OR,PASSERIFORMES,Oriolidae,Филиппинская иволга
6344,Oriolus chlorocephalus,AF,PASSERIFORMES,Oriolidae,Зеленоголовая иволга
6345,Oriolus brachyrynchus,AF,PASSERIFORMES,Oriolidae,Синекрылая иволга
6346,Oriolus crassirostris,AF,PASSERIFORMES,Oriolidae,Большеклювая иволга
6347,Oriolus larvatus,AF,PASSERIFORMES,Oriolidae,Масковая иволга
6348,Oriolus monacha,AF,PASSERIFORMES,Oriolidae,Иволга-монашенка
6349,Oriolus percivali,AF,PASSERIFORMES,Oriolidae,Горная иволга
6350,Oriolus nigripennis,AF,PASSERIFORMES,Oriolidae,Чернокрылая иволга
6351,Oriolus auratus,AF,PASSERIFORMES,Oriolidae,Африканская жёлтая иволга
6352,Oriolus kundoo,PAL,PASSERIFORMES,Oriolidae,Индийская иволга
6353,Oriolus oriolus,PAL,PASSERIFORMES,Oriolidae,Иволга
6354,Oriolus chinensis,"OR, AU",PASSERIFORMES,Oriolidae,Китайская иволга
6355,Oriolus tenuirostris,OR,PASSERIFORMES,Oriolidae,Тонкоклювая иволга
6356,Dicrurus aeneus,OR,PASSERIFORMES,Dicruridae,Бронзовый дронго
6357,Dicrurus remifer,OR,PASSERIFORMES,Dicruridae,Малый ракетохвостый дронго
6358,Dicrurus annectens,OR,PASSERIFORMES,Dicruridae,Большеклювый дронго
6359,Dicrurus paradiseus,OR,PASSERIFORMES,Dicruridae,Райский дронго
6360,Dicrurus lophorinus,OR,PASSERIFORMES,Dicruridae,Ланкийский дронго
6361,Dicrurus andamanensis,OR,PASSERIFORMES,Dicruridae,Андаманский дронго
6362,Dicrurus sumatranus,OR,PASSERIFORMES,Dicruridae,Суматранский дронго
6363,Dicrurus montanus,AU,PASSERIFORMES,Dicruridae,Сулавесский дронго
6364,Dicrurus bracteatus,AU,PASSERIFORMES,Dicruridae,Сверкающий дронго
6365,Dicrurus megarhynchus,AU,PASSERIFORMES,Dicruridae,Лентохвостый дронго
6366,Dicrurus hottentottus,"OR, AU",PASSERIFORMES,Dicruridae,Лирохвостый дронго
6367,Dicrurus menagei,OR,PASSERIFORMES,Dicruridae,Табласский дронго
6368,Dicrurus palawanensis,OR,PASSERIFORMES,Dicruridae,Palawan Drongo
6369,Dicrurus balicassius,OR,PASSERIFORMES,Dicruridae,Филиппинский дронго
6370,Dicrurus striatus,OR,PASSERIFORMES,Dicruridae,Short-tailed Drongo
6371,Dicrurus densus,OR,PASSERIFORMES,Dicruridae,Зондский дронго
6372,Dicrurus leucophaeus,OR,PASSERIFORMES,Dicruridae,Пепельный дронго
6373,Dicrurus caerulescens,OR,PASSERIFORMES,Dicruridae,Белобрюхий дронго
6374,Dicrurus waldenii,AF,PASSERIFORMES,Dicruridae,Майоттский дронго
6375,Dicrurus forficatus,AF,PASSERIFORMES,Dicruridae,Хохлатый дронго
6376,Dicrurus aldabranus,AF,PASSERIFORMES,Dicruridae,Альдабранский дронго
6377,Dicrurus fuscipennis,AF,PASSERIFORMES,Dicruridae,Коморский дронго
6378,Dicrurus modestus,AF,PASSERIFORMES,Dicruridae,Лесной дронго
6379,Dicrurus adsimilis,AF,PASSERIFORMES,Dicruridae,Траурный дронго
6380,Dicrurus macrocercus,OR,PASSERIFORMES,Dicruridae,Чёрный дронго
6381,Dicrurus ludwigii,AF,PASSERIFORMES,Dicruridae,Прямохвостый дронго
6382,Dicrurus atripennis,AF,PASSERIFORMES,Dicruridae,Блестящий дронго
6383,Dicrurus sharpei,AF,PASSERIFORMES,Dicruridae,Центральноафриканский дронго
6384,Rhipidura superciliaris,OR,PASSERIFORMES,Rhipiduridae,Синеспинная веерохвостка
6385,Rhipidura samarensis,OR,PASSERIFORMES,Rhipiduridae,Висаянская синяя веерохвостка
6386,Rhipidura cyaniceps,OR,PASSERIFORMES,Rhipiduridae,Синеголовая веерохвостка
6387,Rhipidura sauli,OR,PASSERIFORMES,Rhipiduridae,Табласская веерохвостка
6388,Rhipidura albiventris,OR,PASSERIFORMES,Rhipiduridae,Висаянская веерохвостка
6389,Rhipidura albicollis,OR,PASSERIFORMES,Rhipiduridae,Белошейная веерохвостка
6390,Rhipidura albogularis,OR,PASSERIFORMES,Rhipiduridae,Белогорлая веерохвостка
6391,Rhipidura euryura,OR,PASSERIFORMES,Rhipiduridae,Коротколапая веерохвостка
6392,Rhipidura aureola,OR,PASSERIFORMES,Rhipiduridae,Белолобая веерохвостка
6393,Rhipidura javanica,OR,PASSERIFORMES,Rhipiduridae,Ошейниковая веерохвостка
6394,Rhipidura nigritorquis,OR,PASSERIFORMES,Rhipiduridae,Филиппинская веерохвостка
6395,Rhipidura perlata,OR,PASSERIFORMES,Rhipiduridae,Жемчужногрудая веерохвостка
6396,Rhipidura leucophrys,AU,PASSERIFORMES,Rhipiduridae,Чёрно-белая веерохвостка
6397,Rhipidura diluta,AU,PASSERIFORMES,Rhipiduridae,Буроватая веерохвостка
6398,Rhipidura fuscorufa,AU,PASSERIFORMES,Rhipiduridae,Рыжеватая веерохвостка
6399,Rhipidura rufiventris,AU,PASSERIFORMES,Rhipiduridae,Веерохвостка-вдовушка
6400,Rhipidura kordensis,AU,PASSERIFORMES,Rhipiduridae,Biak Fantail
6401,Rhipidura cockerelli,AU,PASSERIFORMES,Rhipiduridae,Веерохвостка Кокерелла
6402,Rhipidura threnothorax,AU,PASSERIFORMES,Rhipiduridae,Пестрогрудая веерохвостка
6403,Rhipidura maculipectus,AU,PASSERIFORMES,Rhipiduridae,Пятнистогрудая веерохвостка
6404,Rhipidura leucothorax,AU,PASSERIFORMES,Rhipiduridae,Белогрудая веерохвостка
6405,Rhipidura atra,AU,PASSERIFORMES,Rhipiduridae,Чёрная веерохвостка
6406,Rhipidura hyperythra,AU,PASSERIFORMES,Rhipiduridae,Коричневобрюхая веерохвостка
6407,Rhipidura albolimbata,AU,PASSERIFORMES,Rhipiduridae,Серобрюхая веерохвостка
6408,Rhipidura albiscapa,AU,PASSERIFORMES,Rhipiduridae,Серая веерохвостка
6409,Rhipidura fuliginosa,AU,PASSERIFORMES,Rhipiduridae,Серая веерохвостка
6410,Rhipidura phasiana,AU,PASSERIFORMES,Rhipiduridae,Мангровая веерохвостка
6411,Rhipidura drownei,AU,PASSERIFORMES,Rhipiduridae,Горная веерохвостка
6412,Rhipidura tenebrosa,AU,PASSERIFORMES,Rhipiduridae,Тёмная веерохвостка
6413,Rhipidura rennelliana,AU,PASSERIFORMES,Rhipiduridae,Веерохвостка Реннела
6414,Rhipidura verreauxi,PO,PASSERIFORMES,Rhipiduridae,Пятнистая веерохвостка
6415,Rhipidura personata,PO,PASSERIFORMES,Rhipiduridae,Кандавуская веерохвостка
6416,Rhipidura nebulosa,PO,PASSERIFORMES,Rhipiduridae,Самоанская веерохвостка
6417,Rhipidura phoenicura,OR,PASSERIFORMES,Rhipiduridae,Рыжепоясничная веерохвостка
6418,Rhipidura nigrocinnamomea,OR,PASSERIFORMES,Rhipiduridae,Филиппинская веерохвостка
6419,Rhipidura brachyrhyncha,AU,PASSERIFORMES,Rhipiduridae,Диморфная веерохвостка
6420,Rhipidura lepida,PO,PASSERIFORMES,Rhipiduridae,Палауская веерохвостка
6421,Rhipidura dedemi,AU,PASSERIFORMES,Rhipiduridae,Серамская веерохвостка
6422,Rhipidura superflua,AU,PASSERIFORMES,Rhipiduridae,Буруанская веерохвостка
6423,Rhipidura teysmanni,AU,PASSERIFORMES,Rhipiduridae,Целебесская веерохвостка
6424,Rhipidura habibiei,AU,PASSERIFORMES,Rhipiduridae,Пеленгская веерохвостка
6425,Rhipidura sulaensis,AU,PASSERIFORMES,Rhipiduridae,Рыжебровая веерохвостка
6426,Rhipidura opistherythra,AU,PASSERIFORMES,Rhipiduridae,Рыжеспинная веерохвостка
6427,Rhipidura rufidorsa,AU,PASSERIFORMES,Rhipiduridae,Серогрудая веерохвостка
6428,Rhipidura dahli,AU,PASSERIFORMES,Rhipiduridae,Серогорлая веерохвостка
6429,Rhipidura matthiae,AU,PASSERIFORMES,Rhipiduridae,Черногрудая веерохвостка
6430,Rhipidura malaitae,AU,PASSERIFORMES,Rhipiduridae,Малаитская веерохвостка
6431,Rhipidura semirubra,AU,PASSERIFORMES,Rhipiduridae,Манусская веерохвостка
6432,Rhipidura rufifrons,"AU, PO",PASSERIFORMES,Rhipiduridae,Краснолобая веерохвостка
6433,Rhipidura kubaryi,PO,PASSERIFORMES,Rhipiduridae,Понпейская веерохвостка
6434,Rhipidura dryas,AU,PASSERIFORMES,Rhipiduridae,Лесная веерохвостка
6435,Chaetorhynchus papuensis,AU,PASSERIFORMES,Rhipiduridae,Папуанский дронго
6436,Eutrichomyias rowleyi,AU,PASSERIFORMES,Rhipiduridae,Дронговый веерохвост
6437,Lamprolia klinesmithi,PO,PASSERIFORMES,Rhipiduridae,Малая шелкохвостка
6438,Lamprolia victoriae,PO,PASSERIFORMES,Rhipiduridae,Шелкохвостка
6439,Hypothymis azurea,OR,PASSERIFORMES,Monarchidae,Черноголовый монарх
6440,Hypothymis puella,AU,PASSERIFORMES,Monarchidae,Молуккский монарх
6441,Hypothymis helenae,OR,PASSERIFORMES,Monarchidae,Монарх Елены
6442,Hypothymis coelestis,OR,PASSERIFORMES,Monarchidae,Небесный монарх
6443,Trochocercus cyanomelas,AF,PASSERIFORMES,Monarchidae,Ультрамариновая хохлатая мухоловка
6444,Trochocercus nitens,AF,PASSERIFORMES,Monarchidae,Синеголовая хохлатая мухоловка
6445,Terpsiphone bedfordi,AF,PASSERIFORMES,Monarchidae,Райская мухоловка Бедфорда
6446,Terpsiphone rufocinerea,AF,PASSERIFORMES,Monarchidae,Рыжебрюхая райская мухоловка
6447,Terpsiphone rufiventer,AF,PASSERIFORMES,Monarchidae,Сенегальская райская мухоловка
6448,Terpsiphone smithii,AF,PASSERIFORMES,Monarchidae,Аннобонская райская мухоловка
6449,Terpsiphone batesi,AF,PASSERIFORMES,Monarchidae,Райская мухоловка Бейтса
6450,Terpsiphone viridis,AF,PASSERIFORMES,Monarchidae,Африканская райская мухоловка
6451,Terpsiphone paradisi,OR,PASSERIFORMES,Monarchidae,Райская мухоловка
6452,Terpsiphone affinis,OR,PASSERIFORMES,Monarchidae,Индокитайская райская мухоловка
6453,Terpsiphone floris,AU,PASSERIFORMES,Monarchidae,Tenggara Paradise Flycatcher
6454,Terpsiphone incei,OR,PASSERIFORMES,Monarchidae,Амурская райская мухоловка
6455,Terpsiphone atrocaudata,PAL,PASSERIFORMES,Monarchidae,Чёрная райская мухоловка
6456,Terpsiphone cyanescens,OR,PASSERIFORMES,Monarchidae,Кобальтовая райская мухоловка
6457,Terpsiphone cinnamomea,OR,PASSERIFORMES,Monarchidae,Коричная райская мухоловка
6458,Terpsiphone atrochalybeia,AF,PASSERIFORMES,Monarchidae,Шиферная райская мухоловка
6459,Terpsiphone mutata,AF,PASSERIFORMES,Monarchidae,Мадагаскарская райская мухоловка
6460,Terpsiphone corvina,IO,PASSERIFORMES,Monarchidae,Сейшельская райская мухоловка
6461,Terpsiphone bourbonnensis,IO,PASSERIFORMES,Monarchidae,Маскаренская райская мухоловка
6462,Chasiempis sclateri,PO,PASSERIFORMES,Monarchidae,Кауайский элепайо
6463,Chasiempis ibidis,PO,PASSERIFORMES,Monarchidae,Оахский элепайо
6464,Chasiempis sandwichensis,PO,PASSERIFORMES,Monarchidae,Гавайский элепайо
6465,Pomarea dimidiata,PO,PASSERIFORMES,Monarchidae,Раротонгская помарея
6466,Pomarea nigra,PO,PASSERIFORMES,Monarchidae,Таитянская помарея
6467,Pomarea mendozae,PO,PASSERIFORMES,Monarchidae,Маркизская помарея
6468,Pomarea mira,PO,PASSERIFORMES,Monarchidae,Белохвостая помарея
6469,Pomarea iphis,PO,PASSERIFORMES,Monarchidae,Хуахунская помарея
6470,Pomarea whitneyi,PO,PASSERIFORMES,Monarchidae,Фатухивская помарея
6471,Mayrornis schistaceus,AU,PASSERIFORMES,Monarchidae,Ваникорская шиферная мухоловка
6472,Mayrornis versicolor,PO,PASSERIFORMES,Monarchidae,Рыжегрудая шиферная мухоловка
6473,Mayrornis lessoni,PO,PASSERIFORMES,Monarchidae,Чернохвостая шиферная мухоловка
6474,Neolalage banksiana,AU,PASSERIFORMES,Monarchidae,Арлекиновая мухоловка
6475,Clytorhynchus pachycephaloides,AU,PASSERIFORMES,Monarchidae,Гебридская большеклювая мухоловка
6476,Clytorhynchus vitiensis,PO,PASSERIFORMES,Monarchidae,Фиджийская большеклювая мухоловка
6477,Clytorhynchus nigrogularis,PO,PASSERIFORMES,Monarchidae,Черногорлая большеклювая мухоловка
6478,Clytorhynchus sanctaecrucis,PO,PASSERIFORMES,Monarchidae,Сантакрусская большеклювая мухоловка
6479,Clytorhynchus hamlini,AU,PASSERIFORMES,Monarchidae,Реннельская большеклювая мухоловка
6480,Metabolus rugensis,PO,PASSERIFORMES,Monarchidae,Трукская мухоловка-монарх
6481,Symposiachrus axillaris,AU,PASSERIFORMES,Monarchidae,Чёрный монарх
6482,Symposiachrus guttula,AU,PASSERIFORMES,Monarchidae,Жемчужнокрылый монарх
6483,Symposiachrus mundus,AU,PASSERIFORMES,Monarchidae,Тенимберский монарх
6484,Symposiachrus sacerdotum,AU,PASSERIFORMES,Monarchidae,Флоресский монарх
6485,Symposiachrus boanensis,AU,PASSERIFORMES,Monarchidae,Боанский монарх
