,IOC,Breeding Range,Order,Family,Serbian
4381,Cichlocolaptes mazarbarnetti,SA,PASSERIFORMES,Furnariidae,Cryptic Treehunter
4382,Heliobletus contaminatus,SA,PASSERIFORMES,Furnariidae,Sharp-billed Treehunter
4383,Philydor fuscipenne,"MA, SA",PASSERIFORMES,Furnariidae,Slaty-winged Foliage-gleaner
4384,Philydor erythrocercum,SA,PASSERIFORMES,Furnariidae,Rufous-rumped Foliage-gleaner
4385,Philydor novaesi,SA,PASSERIFORMES,Furnariidae,Alagoas Foliage-gleaner
4386,Philydor atricapillus,SA,PASSERIFORMES,Furnariidae,Black-capped Foliage-gleaner
4387,Philydor pyrrhodes,SA,PASSERIFORMES,Furnariidae,Cinnamon-rumped Foliage-gleaner
4388,Anabacerthia striaticollis,SA,PASSERIFORMES,Furnariidae,Montane Foliage-gleaner
4389,Anabacerthia variegaticeps,"MA, SA",PASSERIFORMES,Furnariidae,Scaly-throated Foliage-gleaner
4390,Anabacerthia ruficaudata,SA,PASSERIFORMES,Furnariidae,Rufous-tailed Foliage-gleaner
4391,Anabacerthia amaurotis,SA,PASSERIFORMES,Furnariidae,White-browed Foliage-gleaner
4392,Anabacerthia lichtensteini,SA,PASSERIFORMES,Furnariidae,Ochre-breasted Foliage-gleaner
4393,Syndactyla rufosuperciliata,SA,PASSERIFORMES,Furnariidae,Buff-browed Foliage-gleaner
4394,Syndactyla dimidiata,SA,PASSERIFORMES,Furnariidae,Planalto Foliage-gleaner
4395,Syndactyla roraimae,SA,PASSERIFORMES,Furnariidae,Tepui Foliage-gleaner
4396,Syndactyla subalaris,"MA, SA",PASSERIFORMES,Furnariidae,Lineated Foliage-gleaner
4397,Syndactyla ruficollis,SA,PASSERIFORMES,Furnariidae,Rufous-necked Foliage-gleaner
4398,Syndactyla guttulata,SA,PASSERIFORMES,Furnariidae,Guttulate Foliage-gleaner
4399,Syndactyla ucayalae,SA,PASSERIFORMES,Furnariidae,Peruvian Recurvebill
4400,Syndactyla striata,SA,PASSERIFORMES,Furnariidae,Bolivian Recurvebill
4401,Ancistrops strigilatus,SA,PASSERIFORMES,Furnariidae,Chestnut-winged Hookbill
4402,Dendroma rufa,"MA, SA",PASSERIFORMES,Furnariidae,Buff-fronted Foliage-gleaner
4403,Dendroma erythroptera,SA,PASSERIFORMES,Furnariidae,Chestnut-winged Foliage-gleaner
4404,Clibanornis dendrocolaptoides,SA,PASSERIFORMES,Furnariidae,Canebrake Groundcreeper
4405,Clibanornis rectirostris,SA,PASSERIFORMES,Furnariidae,Henna-capped Foliage-gleaner
4406,Clibanornis erythrocephalus,SA,PASSERIFORMES,Furnariidae,Henna-hooded Foliage-gleaner
4407,Clibanornis rubiginosus,"MA, SA",PASSERIFORMES,Furnariidae,Ruddy Foliage-gleaner
4408,Clibanornis rufipectus,SA,PASSERIFORMES,Furnariidae,Santa Marta Foliage-gleaner
4409,Thripadectes ignobilis,SA,PASSERIFORMES,Furnariidae,Uniform Treehunter
4410,Thripadectes flammulatus,SA,PASSERIFORMES,Furnariidae,Flammulated Treehunter
4411,Thripadectes scrutator,SA,PASSERIFORMES,Furnariidae,Peruvian Treehunter
4412,Thripadectes rufobrunneus,MA,PASSERIFORMES,Furnariidae,Streak-breasted Treehunter
4413,Thripadectes melanorhynchus,SA,PASSERIFORMES,Furnariidae,Black-billed Treehunter
4414,Thripadectes holostictus,SA,PASSERIFORMES,Furnariidae,Striped Treehunter
4415,Thripadectes virgaticeps,SA,PASSERIFORMES,Furnariidae,Streak-capped Treehunter
4416,Automolus rufipileatus,SA,PASSERIFORMES,Furnariidae,Chestnut-crowned Foliage-gleaner
4417,Automolus melanopezus,SA,PASSERIFORMES,Furnariidae,Brown-rumped Foliage-gleaner
4418,Automolus cervinigularis,MA,PASSERIFORMES,Furnariidae,Fawn-throated Foliage-gleaner
4419,Automolus ochrolaemus,"MA, SA",PASSERIFORMES,Furnariidae,Ochre-throated Foliage-gleaner
4420,Automolus exsertus,MA,PASSERIFORMES,Furnariidae,Chiriqui Foliage-gleaner
4421,Automolus subulatus,SA,PASSERIFORMES,Furnariidae,Eastern Woodhaunter
4422,Automolus virgatus,"MA, SA",PASSERIFORMES,Furnariidae,Western Woodhaunter
4423,Automolus infuscatus,SA,PASSERIFORMES,Furnariidae,Olive-backed Foliage-gleaner
4424,Automolus paraensis,SA,PASSERIFORMES,Furnariidae,Para Foliage-gleaner
4425,Automolus lammi,SA,PASSERIFORMES,Furnariidae,Pernambuco Foliage-gleaner
4426,Automolus leucophthalmus,SA,PASSERIFORMES,Furnariidae,White-eyed Foliage-gleaner
4427,Premnoplex brunnescens,"MA, SA",PASSERIFORMES,Furnariidae,Spotted Barbtail
4428,Premnoplex tatei,SA,PASSERIFORMES,Furnariidae,White-throated Barbtail
4429,Margarornis bellulus,MA,PASSERIFORMES,Furnariidae,Beautiful Treerunner
4430,Margarornis rubiginosus,MA,PASSERIFORMES,Furnariidae,Ruddy Treerunner
4431,Margarornis stellatus,SA,PASSERIFORMES,Furnariidae,Star-chested Treerunner
4432,Margarornis squamiger,SA,PASSERIFORMES,Furnariidae,Pearled Treerunner
4433,Aphrastura spinicauda,SA,PASSERIFORMES,Furnariidae,Šarena strunorepka
4434,Aphrastura masafuerae,SA,PASSERIFORMES,Furnariidae,Strunorepka sa Masafuere
4435,Sylviorthorhynchus desmurii,SA,PASSERIFORMES,Furnariidae,Riđa strunorepka
4436,Sylviorthorhynchus yanacensis,SA,PASSERIFORMES,Furnariidae,Planinska strunorepka
4437,Leptasthenura fuliginiceps,SA,PASSERIFORMES,Furnariidae,Smeđoglava seničarka
4438,Leptasthenura platensis,SA,PASSERIFORMES,Furnariidae,Smeđa ćubasta seničarka
4439,Leptasthenura aegithaloides,SA,PASSERIFORMES,Furnariidae,Žućkasta seničarka
4440,Leptasthenura striolata,SA,PASSERIFORMES,Furnariidae,Prugasta seničarka
4441,Leptasthenura pileata,SA,PASSERIFORMES,Furnariidae,Riđokapa seničarka
4442,Leptasthenura xenothorax,SA,PASSERIFORMES,Furnariidae,Beloobrvasta seničarka
4443,Leptasthenura striata,SA,PASSERIFORMES,Furnariidae,Pirgasta seničarka
4444,Leptasthenura andicola,SA,PASSERIFORMES,Furnariidae,Andska seničarka
4445,Leptasthenura setaria,SA,PASSERIFORMES,Furnariidae,Araukarijina seničarka
4446,Phacellodomus rufifrons,SA,PASSERIFORMES,Furnariidae,Riđočela trnarica
4447,Phacellodomus inornatus,SA,PASSERIFORMES,Furnariidae,Plain Thornbird
4448,Phacellodomus striaticeps,SA,PASSERIFORMES,Furnariidae,Trnarica prugastog čela
4449,Phacellodomus sibilatrix,SA,PASSERIFORMES,Furnariidae,Mala trnarica
4450,Phacellodomus dorsalis,SA,PASSERIFORMES,Furnariidae,Smeđoleđa trnarica
4451,Phacellodomus maculipectus,SA,PASSERIFORMES,Furnariidae,Zapadna pegava trnarica
4452,Phacellodomus striaticollis,SA,PASSERIFORMES,Furnariidae,Istočna pegava trnarica
4453,Phacellodomus ruber,SA,PASSERIFORMES,Furnariidae,Velika trnarica
4454,Phacellodomus erythrophthalmus,SA,PASSERIFORMES,Furnariidae,Crvenooka trnarica
4455,Phacellodomus ferrugineigula,SA,PASSERIFORMES,Furnariidae,Riđa trnarica
4456,Hellmayrea gularis,SA,PASSERIFORMES,Furnariidae,Beloobrvasta strunorepka
4457,Anumbius annumbi,SA,PASSERIFORMES,Furnariidae,Sakupljač suvaraka
4458,Coryphistera alaudina,SA,PASSERIFORMES,Furnariidae,Ševolika pećarka
4459,Asthenes dorbignyi,SA,PASSERIFORMES,Furnariidae,Svetlogrudi kanastero
4460,Asthenes arequipae,SA,PASSERIFORMES,Furnariidae,Dark-winged Canastero
4461,Asthenes huancavelicae,SA,PASSERIFORMES,Furnariidae,Pale-tailed Canastero
4462,Asthenes berlepschi,SA,PASSERIFORMES,Furnariidae,Berlepšov kanastero
4463,Asthenes baeri,SA,PASSERIFORMES,Furnariidae,Kratkokljuni kanastero
4464,Asthenes luizae,SA,PASSERIFORMES,Furnariidae,Cipo Canastero
4465,Asthenes hudsoni,SA,PASSERIFORMES,Furnariidae,Hadsonov kanastero
4466,Asthenes anthoides,SA,PASSERIFORMES,Furnariidae,Južni kanastero
4467,Asthenes urubambensis,SA,PASSERIFORMES,Furnariidae,Line-fronted Canastero
4468,Asthenes flammulata,SA,PASSERIFORMES,Furnariidae,Many-striped Canastero
4469,Asthenes virgata,SA,PASSERIFORMES,Furnariidae,Junin Canastero
4470,Asthenes maculicauda,SA,PASSERIFORMES,Furnariidae,Scribble-tailed Canastero
4471,Asthenes wyatti,SA,PASSERIFORMES,Furnariidae,Streak-backed Canastero
4472,Asthenes humilis,SA,PASSERIFORMES,Furnariidae,Streak-throated Canastero
4473,Asthenes modesta,SA,PASSERIFORMES,Furnariidae,Kordiljerski kanastero
4474,Asthenes moreirae,SA,PASSERIFORMES,Furnariidae,Itatiaia Spinetail
4475,Asthenes pyrrholeuca,SA,PASSERIFORMES,Furnariidae,Oštrokljuni kanastero
4476,Asthenes harterti,SA,PASSERIFORMES,Furnariidae,Crnogrli kanastero
4477,Asthenes helleri,SA,PASSERIFORMES,Furnariidae,Puna Thistletail
4478,Asthenes vilcabambae,SA,PASSERIFORMES,Furnariidae,Vilcabamba Thistletail
4479,Asthenes ayacuchensis,SA,PASSERIFORMES,Furnariidae,Ayacucho Thistletail
4480,Asthenes pudibunda,SA,PASSERIFORMES,Furnariidae,Kanjonski kanastero
4481,Asthenes ottonis,SA,PASSERIFORMES,Furnariidae,Rusty-fronted Canastero
4482,Asthenes heterura,SA,PASSERIFORMES,Furnariidae,Maquis Canastero
4483,Asthenes palpebralis,SA,PASSERIFORMES,Furnariidae,Eye-ringed Thistletail
4484,Asthenes coryi,SA,PASSERIFORMES,Furnariidae,Ochre-browed Thistletail
4485,Asthenes perijana,SA,PASSERIFORMES,Furnariidae,Perija Thistletail
4486,Asthenes fuliginosa,SA,PASSERIFORMES,Furnariidae,White-chinned Thistletail
4487,Asthenes griseomurina,SA,PASSERIFORMES,Furnariidae,Mouse-colored Thistletail
4488,Acrobatornis fonsecai,SA,PASSERIFORMES,Furnariidae,Pink-legged Graveteiro
4489,Metopothrix aurantiaca,SA,PASSERIFORMES,Furnariidae,Orange-fronted Plushcrown
4490,Xenerpestes minlosi,"MA, SA",PASSERIFORMES,Furnariidae,Double-banded Greytail
4491,Xenerpestes singularis,SA,PASSERIFORMES,Furnariidae,Equatorial Greytail
4492,Siptornis striaticollis,SA,PASSERIFORMES,Furnariidae,Spectacled Prickletail
4493,Roraimia adusta,SA,PASSERIFORMES,Furnariidae,Roraiman Barbtail
4494,Thripophaga gutturata,SA,PASSERIFORMES,Furnariidae,Speckled Spinetail
4495,Thripophaga macroura,SA,PASSERIFORMES,Furnariidae,Striated Softtail
4496,Thripophaga cherriei,SA,PASSERIFORMES,Furnariidae,Orinoco Softtail
4497,Thripophaga amacurensis,SA,PASSERIFORMES,Furnariidae,Delta Amacuro Softtail
4498,Thripophaga fusciceps,SA,PASSERIFORMES,Furnariidae,Plain Softtail
4499,Limnoctites rectirostris,SA,PASSERIFORMES,Furnariidae,Straight-billed Reedhaunter
4500,Limnoctites sulphuriferus,SA,PASSERIFORMES,Furnariidae,Sulphur-bearded Reedhaunter
4501,Cranioleuca berlepschi,SA,PASSERIFORMES,Furnariidae,Russet-mantled Softtail
4502,Cranioleuca weskei,SA,PASSERIFORMES,Furnariidae,Vilcabamba Spinetail
4503,Cranioleuca marcapatae,SA,PASSERIFORMES,Furnariidae,Marcapata Spinetail
4504,Cranioleuca albiceps,SA,PASSERIFORMES,Furnariidae,Light-crowned Spinetail
4505,Cranioleuca vulpina,SA,PASSERIFORMES,Furnariidae,Rusty-backed Spinetail
4506,Cranioleuca dissita,MA,PASSERIFORMES,Furnariidae,Coiba Spinetail
4507,Cranioleuca vulpecula,SA,PASSERIFORMES,Furnariidae,Parker's Spinetail
4508,Cranioleuca subcristata,SA,PASSERIFORMES,Furnariidae,Crested Spinetail
4509,Cranioleuca pyrrhophia,SA,PASSERIFORMES,Furnariidae,Stripe-crowned Spinetail
4510,Cranioleuca henricae,SA,PASSERIFORMES,Furnariidae,Bolivian Spinetail
4511,Cranioleuca obsoleta,SA,PASSERIFORMES,Furnariidae,Olive Spinetail
4512,Cranioleuca pallida,SA,PASSERIFORMES,Furnariidae,Pallid Spinetail
4513,Cranioleuca semicinerea,SA,PASSERIFORMES,Furnariidae,Grey-headed Spinetail
4514,Cranioleuca albicapilla,SA,PASSERIFORMES,Furnariidae,Creamy-crested Spinetail
4515,Cranioleuca erythrops,"MA, SA",PASSERIFORMES,Furnariidae,Crvenolika strunorepka
4516,Cranioleuca demissa,SA,PASSERIFORMES,Furnariidae,Strunorepka iz Tepuija
4517,Cranioleuca hellmayri,SA,PASSERIFORMES,Furnariidae,Streak-capped Spinetail
4518,Cranioleuca curtata,SA,PASSERIFORMES,Furnariidae,Ash-browed Spinetail
4519,Cranioleuca antisiensis,SA,PASSERIFORMES,Furnariidae,Line-cheeked Spinetail
4520,Cranioleuca muelleri,SA,PASSERIFORMES,Furnariidae,Scaled Spinetail
4521,Pseudasthenes humicola,SA,PASSERIFORMES,Furnariidae,Kanastero tamnog repa
4522,Pseudasthenes patagonica,SA,PASSERIFORMES,Furnariidae,Patagonski kanastero
4523,Pseudasthenes steinbachi,SA,PASSERIFORMES,Furnariidae,Steinbach's Canastero
4524,Pseudasthenes cactorum,SA,PASSERIFORMES,Furnariidae,Cactus Canastero
4525,Spartonoica maluroides,SA,PASSERIFORMES,Furnariidae,Bay-capped Wren-Spinetail
4526,Pseudoseisura cristata,SA,PASSERIFORMES,Furnariidae,Caatinga Cacholote
4527,Pseudoseisura unirufa,SA,PASSERIFORMES,Furnariidae,Grey-crested Cacholote
4528,Pseudoseisura lophotes,SA,PASSERIFORMES,Furnariidae,Brown Cacholote
4529,Pseudoseisura gutturalis,SA,PASSERIFORMES,Furnariidae,White-throated Cacholote
4530,Certhiaxis cinnamomeus,SA,PASSERIFORMES,Furnariidae,Yellow-chinned Spinetail
4531,Certhiaxis mustelinus,SA,PASSERIFORMES,Furnariidae,Red-and-white Spinetail
4532,Mazaria propinqua,SA,PASSERIFORMES,Furnariidae,White-bellied Spinetail
4533,Schoeniophylax phryganophilus,SA,PASSERIFORMES,Furnariidae,Chotoy Spinetail
4534,Synallaxis scutata,SA,PASSERIFORMES,Furnariidae,Ochre-cheeked Spinetail
4535,Synallaxis cinerascens,SA,PASSERIFORMES,Furnariidae,Grey-bellied Spinetail
4536,Synallaxis gujanensis,SA,PASSERIFORMES,Furnariidae,Plain-crowned Spinetail
4537,Synallaxis simoni,SA,PASSERIFORMES,Furnariidae,Araguaia Spinetail
4538,Synallaxis albilora,SA,PASSERIFORMES,Furnariidae,White-lored Spinetail
4539,Synallaxis maranonica,SA,PASSERIFORMES,Furnariidae,Maranon Spinetail
4540,Synallaxis hypochondriaca,SA,PASSERIFORMES,Furnariidae,Great Spinetail
4541,Synallaxis chinchipensis,SA,PASSERIFORMES,Furnariidae,Chinchipe Spinetail
4542,Synallaxis stictothorax,SA,PASSERIFORMES,Furnariidae,Necklaced Spinetail
4543,Synallaxis zimmeri,SA,PASSERIFORMES,Furnariidae,Russet-bellied Spinetail
4544,Synallaxis brachyura,"MA, SA",PASSERIFORMES,Furnariidae,Slaty Spinetail
4545,Synallaxis subpudica,SA,PASSERIFORMES,Furnariidae,Silvery-throated Spinetail
4546,Synallaxis hellmayri,SA,PASSERIFORMES,Furnariidae,Red-shouldered Spinetail
4547,Synallaxis ruficapilla,SA,PASSERIFORMES,Furnariidae,Rufous-capped Spinetail
4548,Synallaxis cinerea,SA,PASSERIFORMES,Furnariidae,Baijska strunorepka
4549,Synallaxis infuscata,SA,PASSERIFORMES,Furnariidae,Pinto's Spinetail
4550,Synallaxis moesta,SA,PASSERIFORMES,Furnariidae,Dusky Spinetail
4551,Synallaxis macconnelli,SA,PASSERIFORMES,Furnariidae,McConnell's Spinetail
4552,Synallaxis cabanisi,SA,PASSERIFORMES,Furnariidae,Cabanis's Spinetail
4553,Synallaxis hypospodia,SA,PASSERIFORMES,Furnariidae,Cinereous-breasted Spinetail
4554,Synallaxis spixi,SA,PASSERIFORMES,Furnariidae,Spix's Spinetail
4555,Synallaxis albigularis,SA,PASSERIFORMES,Furnariidae,Dark-breasted Spinetail
4556,Synallaxis beverlyae,SA,PASSERIFORMES,Furnariidae,Rio Orinoco Spinetail
4557,Synallaxis albescens,"MA, SA",PASSERIFORMES,Furnariidae,Pale-breasted Spinetail
4558,Synallaxis frontalis,SA,PASSERIFORMES,Furnariidae,Sooty-fronted Spinetail
4559,Synallaxis azarae,SA,PASSERIFORMES,Furnariidae,Azarina strunorepka
4560,Synallaxis courseni,SA,PASSERIFORMES,Furnariidae,Apurimac Spinetail
4561,Synallaxis candei,SA,PASSERIFORMES,Furnariidae,White-whiskered Spinetail
4562,Synallaxis erythrothorax,MA,PASSERIFORMES,Furnariidae,Rufous-breasted Spinetail
4563,Synallaxis kollari,SA,PASSERIFORMES,Furnariidae,Hoary-throated Spinetail
4564,Synallaxis tithys,SA,PASSERIFORMES,Furnariidae,Blackish-headed Spinetail
4565,Synallaxis fuscorufa,SA,PASSERIFORMES,Furnariidae,Rusty-headed Spinetail
4566,Synallaxis unirufa,SA,PASSERIFORMES,Furnariidae,Rufous Spinetail
4567,Synallaxis castanea,SA,PASSERIFORMES,Furnariidae,Black-throated Spinetail
4568,Synallaxis cinnamomea,SA,PASSERIFORMES,Furnariidae,Stripe-breasted Spinetail
4569,Synallaxis rutilans,SA,PASSERIFORMES,Furnariidae,Ruddy Spinetail
4570,Synallaxis cherriei,SA,PASSERIFORMES,Furnariidae,Chestnut-throated Spinetail
4571,Euchrepomis callinota,"MA, SA",PASSERIFORMES,Thamnophilidae,Planinski riđoleđi mravlji carić
4572,Euchrepomis humeralis,SA,PASSERIFORMES,Thamnophilidae,Ravničarski riđoleđi mravlji carić
4573,Euchrepomis sharpei,SA,PASSERIFORMES,Thamnophilidae,Žutoleđi mravlji carić
4574,Euchrepomis spodioptila,SA,PASSERIFORMES,Thamnophilidae,Ash-winged Antwren
4575,Myrmornis torquata,"MA, SA",PASSERIFORMES,Thamnophilidae,Wing-banded Antbird
4576,Pygiptila stellaris,SA,PASSERIFORMES,Thamnophilidae,Spot-winged Antshrike
4577,Thamnistes anabatinus,"MA, SA",PASSERIFORMES,Thamnophilidae,Russet Antshrike
4578,Thamnistes rufescens,SA,PASSERIFORMES,Thamnophilidae,Rufescent Antshrike
4579,Microrhopias quixensis,"MA, SA",PASSERIFORMES,Thamnophilidae,Dot-winged Antwren
4580,Neoctantes niger,SA,PASSERIFORMES,Thamnophilidae,Black Bushbird
4581,Clytoctantes alixii,SA,PASSERIFORMES,Thamnophilidae,Recurve-billed Bushbird
4582,Clytoctantes atrogularis,SA,PASSERIFORMES,Thamnophilidae,Rondonia Bushbird
4583,Epinecrophylla fulviventris,"MA, SA",PASSERIFORMES,Thamnophilidae,Checker-throated Stipplethroat
4584,Epinecrophylla ornata,SA,PASSERIFORMES,Thamnophilidae,Ukrašeni mravlji carić
4585,Epinecrophylla erythrura,SA,PASSERIFORMES,Thamnophilidae,Riđorepi mravlji carić
4586,Epinecrophylla leucophthalma,SA,PASSERIFORMES,Thamnophilidae,Belooki mravlji carić
4587,Epinecrophylla gutturalis,SA,PASSERIFORMES,Thamnophilidae,Smeđotrbi mravlji carić
4588,Epinecrophylla haematonota,SA,PASSERIFORMES,Thamnophilidae,Rufous-backed Stipplethroat
4589,Epinecrophylla spodionota,SA,PASSERIFORMES,Thamnophilidae,Foothill Stipplethroat
4590,Epinecrophylla amazonica,SA,PASSERIFORMES,Thamnophilidae,Mravlji carić sa Rio Madere
4591,Myrmorchilus strigilatus,SA,PASSERIFORMES,Thamnophilidae,Stripe-backed Antbird
4592,Aprositornis disjuncta,SA,PASSERIFORMES,Thamnophilidae,Yapacana Antbird
4593,Ammonastes pelzelni,SA,PASSERIFORMES,Thamnophilidae,Sivotrba mravarka
4594,Myrmophylax atrothorax,SA,PASSERIFORMES,Thamnophilidae,Crnogrla mravarka
4595,Myrmotherula ignota,"MA, SA",PASSERIFORMES,Thamnophilidae,Brkati mravlji carić
4596,Myrmotherula brachyura,SA,PASSERIFORMES,Thamnophilidae,Patuljasti mravlji carić
4597,Myrmotherula surinamensis,SA,PASSERIFORMES,Thamnophilidae,Gvajanski mravlji carić
4598,Myrmotherula multostriata,SA,PASSERIFORMES,Thamnophilidae,Amazonski mravlji carić
4599,Myrmotherula pacifica,"MA, SA",PASSERIFORMES,Thamnophilidae,Pacifički mravlji carić
4600,Myrmotherula cherriei,SA,PASSERIFORMES,Thamnophilidae,Cherrie's Antwren
4601,Myrmotherula klagesi,SA,PASSERIFORMES,Thamnophilidae,Klages's Antwren
4602,Myrmotherula longicauda,SA,PASSERIFORMES,Thamnophilidae,Stripe-chested Antwren
4603,Myrmotherula ambigua,SA,PASSERIFORMES,Thamnophilidae,Yellow-throated Antwren
4604,Myrmotherula sclateri,SA,PASSERIFORMES,Thamnophilidae,Skleterov mravlji carić
4605,Myrmotherula axillaris,"MA, SA",PASSERIFORMES,Thamnophilidae,Beloboki mravlji carić
4606,Myrmotherula luctuosa,SA,PASSERIFORMES,Thamnophilidae,Silvery-flanked Antwren
4607,Myrmotherula schisticolor,"MA, SA",PASSERIFORMES,Thamnophilidae,Slaty Antwren
4608,Myrmotherula sunensis,SA,PASSERIFORMES,Thamnophilidae,Rio Suno Antwren
4609,Myrmotherula minor,SA,PASSERIFORMES,Thamnophilidae,Salvadori's Antwren
4610,Myrmotherula longipennis,SA,PASSERIFORMES,Thamnophilidae,Long-winged Antwren
4611,Myrmotherula urosticta,SA,PASSERIFORMES,Thamnophilidae,Mravlji carić sa trakastim repom
4612,Myrmotherula iheringi,SA,PASSERIFORMES,Thamnophilidae,Ihering's Antwren
4613,Myrmotherula fluminensis,SA,PASSERIFORMES,Thamnophilidae,Rio de Janeiro Antwren
4614,Myrmotherula grisea,SA,PASSERIFORMES,Thamnophilidae,Pepeljasti mravlji carić
4615,Myrmotherula unicolor,SA,PASSERIFORMES,Thamnophilidae,Unicolored Antwren
4616,Myrmotherula snowi,SA,PASSERIFORMES,Thamnophilidae,Alagoas Antwren
4617,Myrmotherula behni,SA,PASSERIFORMES,Thamnophilidae,Plain-winged Antwren
4618,Myrmotherula menetriesii,SA,PASSERIFORMES,Thamnophilidae,Grey Antwren
4619,Myrmotherula assimilis,SA,PASSERIFORMES,Thamnophilidae,Leaden Antwren
4620,Terenura maculata,SA,PASSERIFORMES,Thamnophilidae,Streak-capped Antwren
4621,Terenura sicki,SA,PASSERIFORMES,Thamnophilidae,Orange-bellied Antwren
4622,Myrmochanes hemileucus,SA,PASSERIFORMES,Thamnophilidae,Crno-bela mravarka
4623,Formicivora iheringi,SA,PASSERIFORMES,Thamnophilidae,Narrow-billed Antwren
4624,Formicivora erythronotos,SA,PASSERIFORMES,Thamnophilidae,Black-hooded Antwren
4625,Formicivora grisea,SA,PASSERIFORMES,Thamnophilidae,Southern White-fringed Antwren
4626,Formicivora intermedia,SA,PASSERIFORMES,Thamnophilidae,Northern White-fringed Antwren
4627,Formicivora serrana,SA,PASSERIFORMES,Thamnophilidae,Serra Antwren
4628,Formicivora melanogaster,SA,PASSERIFORMES,Thamnophilidae,Black-bellied Antwren
4629,Formicivora rufa,SA,PASSERIFORMES,Thamnophilidae,Rusty-backed Antwren
4630,Formicivora grantsaui,SA,PASSERIFORMES,Thamnophilidae,Sincora Antwren
4631,Formicivora acutirostris,SA,PASSERIFORMES,Thamnophilidae,Močvarski mravlji svračak
4632,Dichrozona cincta,SA,PASSERIFORMES,Thamnophilidae,Banded Antbird
4633,Rhopias gularis,SA,PASSERIFORMES,Thamnophilidae,Star-throated Antwren
4634,Isleria hauxwelli,SA,PASSERIFORMES,Thamnophilidae,Plain-throated Antwren
4635,Isleria guttata,SA,PASSERIFORMES,Thamnophilidae,Rufous-bellied Antwren
4636,Thamnomanes ardesiacus,SA,PASSERIFORMES,Thamnophilidae,Mravlji svračak tamnog grla
4637,Thamnomanes saturninus,SA,PASSERIFORMES,Thamnophilidae,Saturnine Antshrike
4638,Thamnomanes caesius,SA,PASSERIFORMES,Thamnophilidae,Pepeljasti mravlji svračak
4639,Thamnomanes schistogynus,SA,PASSERIFORMES,Thamnophilidae,Bluish-slate Antshrike
4640,Megastictus margaritatus,SA,PASSERIFORMES,Thamnophilidae,Pearly Antshrike
4641,Sakesphoroides cristatus,SA,PASSERIFORMES,Thamnophilidae,Silvery-cheeked Antshrike
4642,Herpsilochmus pileatus,SA,PASSERIFORMES,Thamnophilidae,Baijski mravlji carić
4643,Herpsilochmus atricapillus,SA,PASSERIFORMES,Thamnophilidae,Black-capped Antwren
4644,Herpsilochmus stotzi,SA,PASSERIFORMES,Thamnophilidae,Aripuana Antwren
4645,Herpsilochmus praedictus,SA,PASSERIFORMES,Thamnophilidae,Predicted Antwren
4646,Herpsilochmus motacilloides,SA,PASSERIFORMES,Thamnophilidae,Creamy-bellied Antwren
4647,Herpsilochmus parkeri,SA,PASSERIFORMES,Thamnophilidae,Ash-throated Antwren
4648,Herpsilochmus sticturus,SA,PASSERIFORMES,Thamnophilidae,Spot-tailed Antwren
4649,Herpsilochmus dugandi,SA,PASSERIFORMES,Thamnophilidae,Dugand's Antwren
4650,Herpsilochmus stictocephalus,SA,PASSERIFORMES,Thamnophilidae,Todd's Antwren
4651,Herpsilochmus dorsimaculatus,SA,PASSERIFORMES,Thamnophilidae,Spot-backed Antwren
4652,Herpsilochmus roraimae,SA,PASSERIFORMES,Thamnophilidae,Roraiman Antwren
4653,Herpsilochmus pectoralis,SA,PASSERIFORMES,Thamnophilidae,Pectoral Antwren
4654,Herpsilochmus longirostris,SA,PASSERIFORMES,Thamnophilidae,Large-billed Antwren
4655,Herpsilochmus gentryi,SA,PASSERIFORMES,Thamnophilidae,Ancient Antwren
4656,Herpsilochmus axillaris,SA,PASSERIFORMES,Thamnophilidae,Yellow-breasted Antwren
4657,Herpsilochmus frater,"MA, SA",PASSERIFORMES,Thamnophilidae,Rusty-winged Antwren
4658,Herpsilochmus rufimarginatus,SA,PASSERIFORMES,Thamnophilidae,Rufous-margined Antwren
4659,Dysithamnus stictothorax,SA,PASSERIFORMES,Thamnophilidae,Spot-breasted Antvireo
4660,Dysithamnus mentalis,"MA, SA",PASSERIFORMES,Thamnophilidae,Plain Antvireo
4661,Dysithamnus striaticeps,MA,PASSERIFORMES,Thamnophilidae,Streak-crowned Antvireo
4662,Dysithamnus puncticeps,"MA, SA",PASSERIFORMES,Thamnophilidae,Spot-crowned Antvireo
4663,Dysithamnus xanthopterus,SA,PASSERIFORMES,Thamnophilidae,Rufous-backed Antvireo
4664,Dysithamnus occidentalis,SA,PASSERIFORMES,Thamnophilidae,Bicolored Antvireo
4665,Dysithamnus plumbeus,SA,PASSERIFORMES,Thamnophilidae,Plumbeous Antvireo
4666,Dysithamnus leucostictus,SA,PASSERIFORMES,Thamnophilidae,White-streaked Antvireo
4667,Thamnophilus bernardi,SA,PASSERIFORMES,Thamnophilidae,Collared Antshrike
4668,Thamnophilus melanonotus,SA,PASSERIFORMES,Thamnophilidae,Crnoleđi mravlji svračak
4669,Thamnophilus melanothorax,SA,PASSERIFORMES,Thamnophilidae,Trakorepi mravlji svračak
4670,Thamnophilus doliatus,"MA, SA",PASSERIFORMES,Thamnophilidae,Barred Antshrike
4671,Thamnophilus zarumae,SA,PASSERIFORMES,Thamnophilidae,Chapman's Antshrike
